netst,stlo,stla,timerange,fband,fmin,fmax,fwcen,intb,intQ,mean_free,scaling_amp,tbeg,tend,noiselevel,madratio,data_path
UW.CCRK,-119.854797,46.558498,2014-01-01T00:00:00+0000 - 2015-01-01T00:00:00+0000,0.5-1.0,0.5,1.0,4.71,0.070,67.320,0.2,3.989318,4.0,13.0,0.03173660,10.0,/home/kffeng/DATA_PNW/pnw_2014/STACK_acfs_HH_2014/
UW.CCRK,-119.854797,46.558498,2014-01-01T00:00:00+0000 - 2015-01-01T00:00:00+0000,1.0-2.0,1.0,2.0,9.42,0.200,47.124,0.2,2.463656,2.0,12.0,0.00348364,10.0,/home/kffeng/DATA_PNW/pnw_2014/STACK_acfs_HH_2014/
UW.CCRK,-119.854797,46.558498,2014-01-01T00:00:00+0000 - 2015-01-01T00:00:00+0000,2.0-4.0,2.0,4.0,18.85,0.200,94.248,0.2,2.072321,1.0,19.0,0.00071113,10.0,/home/kffeng/DATA_PNW/pnw_2014/STACK_acfs_HH_2014/
UW.DDRF,-119.059502,46.491100,2014-01-01T00:00:00+0000 - 2015-01-01T00:00:00+0000,0.5-1.0,0.5,1.0,4.71,0.220,21.420,0.2,0.727896,4.0,8.0,0.00393344,10.0,/home/kffeng/DATA_PNW/pnw_2014/STACK_acfs_HH_2014/
UW.DDRF,-119.059502,46.491100,2014-01-01T00:00:00+0000 - 2015-01-01T00:00:00+0000,1.0-2.0,1.0,2.0,9.42,0.120,78.540,0.2,2.597716,2.0,13.0,0.01468874,10.0,/home/kffeng/DATA_PNW/pnw_2014/STACK_acfs_HH_2014/
UW.DDRF,-119.059502,46.491100,2014-01-01T00:00:00+0000 - 2015-01-01T00:00:00+0000,2.0-4.0,2.0,4.0,18.85,0.030,628.319,0.2,0.468356,1.0,11.0,0.00579101,10.0,/home/kffeng/DATA_PNW/pnw_2014/STACK_acfs_HH_2014/
UW.PHIN,-119.927803,45.895100,2014-01-01T00:00:00+0000 - 2015-01-01T00:00:00+0000,0.5-1.0,0.5,1.0,4.71,0.180,26.180,0.2,1.236100,4.0,8.0,0.01104494,10.0,/home/kffeng/DATA_PNW/pnw_2014/STACK_acfs_HH_2014/
UW.PHIN,-119.927803,45.895100,2014-01-01T00:00:00+0000 - 2015-01-01T00:00:00+0000,1.0-2.0,1.0,2.0,9.42,0.010,942.478,0.2,2.593234,2.0,19.0,0.04164961,10.0,/home/kffeng/DATA_PNW/pnw_2014/STACK_acfs_HH_2014/
UW.PHIN,-119.927803,45.895100,2014-01-01T00:00:00+0000 - 2015-01-01T00:00:00+0000,2.0-4.0,2.0,4.0,18.85,0.060,314.159,0.2,0.327768,1.0,12.0,0.00211050,10.0,/home/kffeng/DATA_PNW/pnw_2014/STACK_acfs_HH_2014/
