netst,stlo,stla,timerange,fband,fmin,fmax,fwcen,intb,intQ,mean_free,scaling_amp,tbeg,tend,noiselevel,madratio,data_path
UW.ERW,-122.626007,48.453838,2005-01-01T00:00:00+0000 - 2006-01-01T00:00:00+0000,0.5-1.0,0.5,1.0,4.71,0.020,235.619,0.2,0.857023,4.0,8.0,0.02547198,10.0,/home/kffeng/DATA_PNW/pnw_2005/STACK_acfs_HH_2005/
UW.ERW,-122.626007,48.453838,2005-01-01T00:00:00+0000 - 2006-01-01T00:00:00+0000,1.0-2.0,1.0,2.0,9.42,0.080,117.810,0.2,1.117102,2.0,10.0,0.00673854,10.0,/home/kffeng/DATA_PNW/pnw_2005/STACK_acfs_HH_2005/
UW.ERW,-122.626007,48.453838,2005-01-01T00:00:00+0000 - 2006-01-01T00:00:00+0000,2.0-4.0,2.0,4.0,18.85,0.050,376.991,0.2,0.487389,1.0,3.0,0.03868075,10.0,/home/kffeng/DATA_PNW/pnw_2005/STACK_acfs_HH_2005/
UW.SP2,-122.249229,47.556290,2005-01-01T00:00:00+0000 - 2006-01-01T00:00:00+0000,0.5-1.0,0.5,1.0,4.71,0.120,39.270,0.2,1.232181,4.0,14.0,0.00588748,10.0,/home/kffeng/DATA_PNW/pnw_2005/STACK_acfs_HH_2005/
UW.SP2,-122.249229,47.556290,2005-01-01T00:00:00+0000 - 2006-01-01T00:00:00+0000,1.0-2.0,1.0,2.0,9.42,0.080,117.810,0.2,0.229279,2.0,13.0,0.00121925,10.0,/home/kffeng/DATA_PNW/pnw_2005/STACK_acfs_HH_2005/
UW.SP2,-122.249229,47.556290,2005-01-01T00:00:00+0000 - 2006-01-01T00:00:00+0000,2.0-4.0,2.0,4.0,18.85,0.110,171.360,0.2,0.709079,1.0,17.0,0.00057195,10.0,/home/kffeng/DATA_PNW/pnw_2005/STACK_acfs_HH_2005/
