netst,stlo,stla,timerange,fband,fmin,fmax,fwcen,intb,intQ,mean_free,scaling_amp,tbeg,tend,noiselevel,madratio,data_path
UO.DFAZ,-122.109299,43.240601,2021-01-01T00:00:00+0000 - 2022-01-01T00:00:00+0000,0.5-1.0,0.5,1.0,4.71,0.010,471.239,0.2,1.205514,4.0,10.0,0.02483644,10.0,/home/kffeng/DATA_PNW/pnw_2021/STACK_acfs_HH_2021/
UO.DFAZ,-122.109299,43.240601,2021-01-01T00:00:00+0000 - 2022-01-01T00:00:00+0000,1.0-2.0,1.0,2.0,9.42,0.150,62.832,0.2,0.330810,2.0,8.0,0.00194345,10.0,/home/kffeng/DATA_PNW/pnw_2021/STACK_acfs_HH_2021/
UO.DFAZ,-122.109299,43.240601,2021-01-01T00:00:00+0000 - 2022-01-01T00:00:00+0000,2.0-4.0,2.0,4.0,18.85,0.020,942.478,0.2,1.091228,1.0,13.0,0.01012376,10.0,/home/kffeng/DATA_PNW/pnw_2021/STACK_acfs_HH_2021/
UO.HBUG,-124.379433,42.640789,2021-01-01T00:00:00+0000 - 2022-01-01T00:00:00+0000,0.5-1.0,0.5,1.0,4.71,0.010,471.239,0.2,0.571469,4.0,15.0,0.00484764,10.0,/home/kffeng/DATA_PNW/pnw_2021/STACK_acfs_HH_2021/
UO.HBUG,-124.379433,42.640789,2021-01-01T00:00:00+0000 - 2022-01-01T00:00:00+0000,1.0-2.0,1.0,2.0,9.42,0.500,18.850,0.2,8.483503,2.0,12.0,0.00110372,10.0,/home/kffeng/DATA_PNW/pnw_2021/STACK_acfs_HH_2021/
UO.HBUG,-124.379433,42.640789,2021-01-01T00:00:00+0000 - 2022-01-01T00:00:00+0000,2.0-4.0,2.0,4.0,18.85,1.180,15.974,0.2,0.981591,1.0,2.0,0.00520147,10.0,/home/kffeng/DATA_PNW/pnw_2021/STACK_acfs_HH_2021/
UO.KBO,-124.225983,42.212357,2021-01-01T00:00:00+0000 - 2022-01-01T00:00:00+0000,0.5-1.0,0.5,1.0,4.71,0.330,14.280,0.2,5.940088,4.0,14.0,0.00147412,10.0,/home/kffeng/DATA_PNW/pnw_2021/STACK_acfs_HH_2021/
UO.KBO,-124.225983,42.212357,2021-01-01T00:00:00+0000 - 2022-01-01T00:00:00+0000,1.0-2.0,1.0,2.0,9.42,1.340,7.033,0.2,3.652670,2.0,4.0,0.00171190,10.0,/home/kffeng/DATA_PNW/pnw_2021/STACK_acfs_HH_2021/
UO.KBO,-124.225983,42.212357,2021-01-01T00:00:00+0000 - 2022-01-01T00:00:00+0000,2.0-4.0,2.0,4.0,18.85,0.900,20.944,0.2,0.286217,1.0,3.0,0.00168882,10.0,/home/kffeng/DATA_PNW/pnw_2021/STACK_acfs_HH_2021/
UO.KEB,-124.334190,42.872353,2021-01-01T00:00:00+0000 - 2022-01-01T00:00:00+0000,0.5-1.0,0.5,1.0,4.71,0.190,24.802,0.2,3.582791,4.0,15.0,0.00436242,10.0,/home/kffeng/DATA_PNW/pnw_2021/STACK_acfs_HH_2021/
UO.KEB,-124.334190,42.872353,2021-01-01T00:00:00+0000 - 2022-01-01T00:00:00+0000,1.0-2.0,1.0,2.0,9.42,0.630,14.960,0.2,2.704892,2.0,5.0,0.00865199,10.0,/home/kffeng/DATA_PNW/pnw_2021/STACK_acfs_HH_2021/
UO.KEB,-124.334190,42.872353,2021-01-01T00:00:00+0000 - 2022-01-01T00:00:00+0000,2.0-4.0,2.0,4.0,18.85,0.170,110.880,0.2,0.378732,1.0,5.0,0.00729172,10.0,/home/kffeng/DATA_PNW/pnw_2021/STACK_acfs_HH_2021/
UO.KUHN,-122.895790,45.785210,2021-01-01T00:00:00+0000 - 2022-01-01T00:00:00+0000,0.5-1.0,0.5,1.0,4.71,0.010,471.239,0.2,6.344742,4.0,12.0,0.13247444,10.0,/home/kffeng/DATA_PNW/pnw_2021/STACK_acfs_HH_2021/
UO.KUHN,-122.895790,45.785210,2021-01-01T00:00:00+0000 - 2022-01-01T00:00:00+0000,1.0-2.0,1.0,2.0,9.42,0.120,78.540,0.2,1.499763,2.0,5.0,0.04573938,10.0,/home/kffeng/DATA_PNW/pnw_2021/STACK_acfs_HH_2021/
UO.KUHN,-122.895790,45.785210,2021-01-01T00:00:00+0000 - 2022-01-01T00:00:00+0000,2.0-4.0,2.0,4.0,18.85,0.160,117.810,0.2,0.216761,1.0,6.0,0.00209110,10.0,/home/kffeng/DATA_PNW/pnw_2021/STACK_acfs_HH_2021/
UO.MONKS,-123.003616,45.994202,2021-01-01T00:00:00+0000 - 2022-01-01T00:00:00+0000,0.5-1.0,0.5,1.0,4.71,0.230,20.489,0.2,19.228549,4.0,10.0,0.06292377,10.0,/home/kffeng/DATA_PNW/pnw_2021/STACK_acfs_HH_2021/
UO.MONKS,-123.003616,45.994202,2021-01-01T00:00:00+0000 - 2022-01-01T00:00:00+0000,1.0-2.0,1.0,2.0,9.42,0.200,47.124,0.2,1.358849,2.0,15.0,0.00161761,10.0,/home/kffeng/DATA_PNW/pnw_2021/STACK_acfs_HH_2021/
UO.MONKS,-123.003616,45.994202,2021-01-01T00:00:00+0000 - 2022-01-01T00:00:00+0000,2.0-4.0,2.0,4.0,18.85,0.360,52.360,0.2,1.360570,1.0,6.0,0.00580143,10.0,/home/kffeng/DATA_PNW/pnw_2021/STACK_acfs_HH_2021/
UO.NBFR,-123.853233,45.726151,2021-01-01T00:00:00+0000 - 2022-01-01T00:00:00+0000,0.5-1.0,0.5,1.0,4.71,0.020,235.619,0.2,2.046311,4.0,17.0,0.02069571,10.0,/home/kffeng/DATA_PNW/pnw_2021/STACK_acfs_HH_2021/
UO.NBFR,-123.853233,45.726151,2021-01-01T00:00:00+0000 - 2022-01-01T00:00:00+0000,1.0-2.0,1.0,2.0,9.42,0.060,157.080,0.2,0.632499,2.0,11.0,0.00614690,10.0,/home/kffeng/DATA_PNW/pnw_2021/STACK_acfs_HH_2021/
UO.NBFR,-123.853233,45.726151,2021-01-01T00:00:00+0000 - 2022-01-01T00:00:00+0000,2.0-4.0,2.0,4.0,18.85,1.080,17.453,0.2,10.506648,1.0,7.0,0.00054472,10.0,/home/kffeng/DATA_PNW/pnw_2021/STACK_acfs_HH_2021/
UO.UCHR,-123.870911,44.834572,2021-01-01T00:00:00+0000 - 2022-01-01T00:00:00+0000,0.5-1.0,0.5,1.0,4.71,0.010,471.239,0.2,0.587088,4.0,19.0,0.00448557,10.0,/home/kffeng/DATA_PNW/pnw_2021/STACK_acfs_HH_2021/
