netst,stlo,stla,timerange,fband,fmin,fmax,fwcen,intb,intQ,mean_free,scaling_amp,tbeg,tend,noiselevel,madratio,data_path
UO.CHIL,-121.753639,42.624561,2018-01-01T00:00:00+0000 - 2019-01-01T00:00:00+0000,0.5-1.0,0.5,1.0,4.71,0.010,471.239,0.2,2.971310,4.0,12.0,0.06665930,10.0,/home/kffeng/DATA_PNW/pnw_2018/STACK_acfs_HH_2018/
UO.CHIL,-121.753639,42.624561,2018-01-01T00:00:00+0000 - 2019-01-01T00:00:00+0000,1.0-2.0,1.0,2.0,9.42,0.010,942.478,0.2,2.137965,2.0,13.0,0.03031849,10.0,/home/kffeng/DATA_PNW/pnw_2018/STACK_acfs_HH_2018/
UO.CHIL,-121.753639,42.624561,2018-01-01T00:00:00+0000 - 2019-01-01T00:00:00+0000,2.0-4.0,2.0,4.0,18.85,0.010,1884.956,0.2,0.579599,1.0,15.0,0.00777307,10.0,/home/kffeng/DATA_PNW/pnw_2018/STACK_acfs_HH_2018/
UO.DFAZ,-122.109299,43.240601,2018-01-01T00:00:00+0000 - 2019-01-01T00:00:00+0000,0.5-1.0,0.5,1.0,4.71,0.010,471.239,0.2,1.266020,4.0,10.0,0.02494525,10.0,/home/kffeng/DATA_PNW/pnw_2018/STACK_acfs_HH_2018/
UO.DFAZ,-122.109299,43.240601,2018-01-01T00:00:00+0000 - 2019-01-01T00:00:00+0000,1.0-2.0,1.0,2.0,9.42,0.220,42.840,0.2,0.985719,2.0,11.0,0.00210028,10.0,/home/kffeng/DATA_PNW/pnw_2018/STACK_acfs_HH_2018/
UO.DFAZ,-122.109299,43.240601,2018-01-01T00:00:00+0000 - 2019-01-01T00:00:00+0000,2.0-4.0,2.0,4.0,18.85,0.010,1884.956,0.2,1.419958,1.0,13.0,0.02858430,10.0,/home/kffeng/DATA_PNW/pnw_2018/STACK_acfs_HH_2018/
UO.WLOO,-122.737694,44.523418,2018-01-01T00:00:00+0000 - 2019-01-01T00:00:00+0000,0.5-1.0,0.5,1.0,4.71,0.050,94.248,0.2,3.703861,4.0,10.0,0.05240157,10.0,/home/kffeng/DATA_PNW/pnw_2018/STACK_acfs_HH_2018/
UO.WLOO,-122.737694,44.523418,2018-01-01T00:00:00+0000 - 2019-01-01T00:00:00+0000,1.0-2.0,1.0,2.0,9.42,0.010,942.478,0.2,0.511558,2.0,4.0,0.02302955,10.0,/home/kffeng/DATA_PNW/pnw_2018/STACK_acfs_HH_2018/
UO.WLOO,-122.737694,44.523418,2018-01-01T00:00:00+0000 - 2019-01-01T00:00:00+0000,2.0-4.0,2.0,4.0,18.85,0.130,144.997,0.2,0.842998,1.0,5.0,0.02415078,10.0,/home/kffeng/DATA_PNW/pnw_2018/STACK_acfs_HH_2018/
UW.BERY,-122.096001,48.264099,2018-01-01T00:00:00+0000 - 2019-01-01T00:00:00+0000,0.5-1.0,0.5,1.0,4.71,0.030,157.080,0.2,5.053761,4.0,9.0,0.10926445,10.0,/home/kffeng/DATA_PNW/pnw_2018/STACK_acfs_HH_2018/
UW.BERY,-122.096001,48.264099,2018-01-01T00:00:00+0000 - 2019-01-01T00:00:00+0000,1.0-2.0,1.0,2.0,9.42,0.100,94.248,0.2,0.720192,2.0,8.0,0.00854517,10.0,/home/kffeng/DATA_PNW/pnw_2018/STACK_acfs_HH_2018/
UW.BERY,-122.096001,48.264099,2018-01-01T00:00:00+0000 - 2019-01-01T00:00:00+0000,2.0-4.0,2.0,4.0,18.85,0.700,26.928,0.2,1.940868,1.0,8.0,0.00031160,10.0,/home/kffeng/DATA_PNW/pnw_2018/STACK_acfs_HH_2018/
UW.BST01,-122.391701,47.681702,2018-01-01T00:00:00+0000 - 2019-01-01T00:00:00+0000,0.5-1.0,0.5,1.0,4.71,0.010,471.239,0.2,3.704750,4.0,9.0,0.13350256,10.0,/home/kffeng/DATA_PNW/pnw_2018/STACK_acfs_HH_2018/
UW.BST01,-122.391701,47.681702,2018-01-01T00:00:00+0000 - 2019-01-01T00:00:00+0000,1.0-2.0,1.0,2.0,9.42,0.180,52.360,0.2,1.574786,2.0,6.0,0.01659495,10.0,/home/kffeng/DATA_PNW/pnw_2018/STACK_acfs_HH_2018/
