netst,stlo,stla,timerange,fband,fmin,fmax,fwcen,intb,intQ,mean_free,scaling_amp,tbeg,tend,noiselevel,madratio,data_path
UW.CCRK,-119.854797,46.558498,2013-01-01T00:00:00+0000 - 2014-01-01T00:00:00+0000,0.5-1.0,0.5,1.0,4.71,0.190,24.802,0.2,4.180202,4.0,12.0,0.01267899,10.0,/home/kffeng/DATA_PNW/pnw_2013/STACK_acfs_HH_2013/
UW.CCRK,-119.854797,46.558498,2013-01-01T00:00:00+0000 - 2014-01-01T00:00:00+0000,1.0-2.0,1.0,2.0,9.42,0.140,67.320,0.2,2.046025,2.0,15.0,0.00379653,10.0,/home/kffeng/DATA_PNW/pnw_2013/STACK_acfs_HH_2013/
UW.CCRK,-119.854797,46.558498,2013-01-01T00:00:00+0000 - 2014-01-01T00:00:00+0000,2.0-4.0,2.0,4.0,18.85,0.140,134.640,0.2,2.584698,1.0,20.0,0.00161679,10.0,/home/kffeng/DATA_PNW/pnw_2013/STACK_acfs_HH_2013/
UW.PASS,-122.085197,48.998299,2013-01-01T00:00:00+0000 - 2014-01-01T00:00:00+0000,0.5-1.0,0.5,1.0,4.71,0.740,6.368,0.2,4.004431,4.0,9.0,0.00019943,10.0,/home/kffeng/DATA_PNW/pnw_2013/STACK_acfs_HH_2013/
UW.PASS,-122.085197,48.998299,2013-01-01T00:00:00+0000 - 2014-01-01T00:00:00+0000,1.0-2.0,1.0,2.0,9.42,1.430,6.591,0.2,1.908497,2.0,5.0,0.00010696,10.0,/home/kffeng/DATA_PNW/pnw_2013/STACK_acfs_HH_2013/
UW.PASS,-122.085197,48.998299,2013-01-01T00:00:00+0000 - 2014-01-01T00:00:00+0000,2.0-4.0,2.0,4.0,18.85,2.990,6.304,0.2,1.069511,1.0,2.0,0.00012234,10.0,/home/kffeng/DATA_PNW/pnw_2013/STACK_acfs_HH_2013/
UW.YACT,-122.419296,45.932499,2013-01-01T00:00:00+0000 - 2014-01-01T00:00:00+0000,0.5-1.0,0.5,1.0,4.71,0.270,17.453,0.2,6.557366,4.0,9.0,0.02330916,10.0,/home/kffeng/DATA_PNW/pnw_2013/STACK_acfs_HH_2013/
UW.YACT,-122.419296,45.932499,2013-01-01T00:00:00+0000 - 2014-01-01T00:00:00+0000,1.0-2.0,1.0,2.0,9.42,0.100,94.248,0.2,2.103959,2.0,13.0,0.01224345,10.0,/home/kffeng/DATA_PNW/pnw_2013/STACK_acfs_HH_2013/
UW.YACT,-122.419296,45.932499,2013-01-01T00:00:00+0000 - 2014-01-01T00:00:00+0000,2.0-4.0,2.0,4.0,18.85,0.380,49.604,0.2,0.475390,1.0,3.0,0.01028003,10.0,/home/kffeng/DATA_PNW/pnw_2013/STACK_acfs_HH_2013/
