netst,stlo,stla,timerange,fband,fmin,fmax,fwcen,intb,intQ,mean_free,scaling_amp,tbeg,tend,noiselevel,madratio,data_path
UW.ELW,-121.872673,47.494099,2009-01-01T00:00:00+0000 - 2010-01-01T00:00:00+0000,0.5-1.0,0.5,1.0,4.71,0.120,39.270,0.2,1.040939,4.0,9.0,0.01066624,10.0,/home/kffeng/DATA_PNW/pnw_2009/STACK_acfs_HH_2009/
UW.ELW,-121.872673,47.494099,2009-01-01T00:00:00+0000 - 2010-01-01T00:00:00+0000,1.0-2.0,1.0,2.0,9.42,0.010,942.478,0.2,1.610877,2.0,11.0,0.03111886,10.0,/home/kffeng/DATA_PNW/pnw_2009/STACK_acfs_HH_2009/
UW.ELW,-121.872673,47.494099,2009-01-01T00:00:00+0000 - 2010-01-01T00:00:00+0000,2.0-4.0,2.0,4.0,18.85,0.190,99.208,0.2,1.225748,1.0,13.0,0.00170876,10.0,/home/kffeng/DATA_PNW/pnw_2009/STACK_acfs_HH_2009/
UW.SP2,-122.249229,47.556290,2009-01-01T00:00:00+0000 - 2010-01-01T00:00:00+0000,0.5-1.0,0.5,1.0,4.71,0.070,67.320,0.2,1.379833,4.0,11.0,0.01644940,10.0,/home/kffeng/DATA_PNW/pnw_2009/STACK_acfs_HH_2009/
UW.SP2,-122.249229,47.556290,2009-01-01T00:00:00+0000 - 2010-01-01T00:00:00+0000,1.0-2.0,1.0,2.0,9.42,0.070,134.640,0.2,0.205426,2.0,14.0,0.00093954,10.0,/home/kffeng/DATA_PNW/pnw_2009/STACK_acfs_HH_2009/
UW.SP2,-122.249229,47.556290,2009-01-01T00:00:00+0000 - 2010-01-01T00:00:00+0000,2.0-4.0,2.0,4.0,18.85,0.090,209.440,0.2,0.793351,1.0,17.0,0.00199037,10.0,/home/kffeng/DATA_PNW/pnw_2009/STACK_acfs_HH_2009/
