netst,stlo,stla,timerange,fband,fmin,fmax,fwcen,intb,intQ,mean_free,scaling_amp,tbeg,tend,noiselevel,madratio,data_path
UW.PASS,-122.085197,48.998299,2015-01-01T00:00:00+0000 - 2016-01-01T00:00:00+0000,0.5-1.0,0.5,1.0,4.71,0.250,18.850,0.2,7.201064,4.0,8.0,0.02937640,10.0,/home/kffeng/DATA_PNW/pnw_2015/STACK_acfs_HH_2015/
UW.PASS,-122.085197,48.998299,2015-01-01T00:00:00+0000 - 2016-01-01T00:00:00+0000,1.0-2.0,1.0,2.0,9.42,0.220,42.840,0.2,1.090484,2.0,7.0,0.00351613,10.0,/home/kffeng/DATA_PNW/pnw_2015/STACK_acfs_HH_2015/
UW.PASS,-122.085197,48.998299,2015-01-01T00:00:00+0000 - 2016-01-01T00:00:00+0000,2.0-4.0,2.0,4.0,18.85,0.540,34.907,0.2,0.826940,1.0,8.0,0.00034586,10.0,/home/kffeng/DATA_PNW/pnw_2015/STACK_acfs_HH_2015/
