netst,stlo,stla,timerange,fband,fmin,fmax,fwcen,intb,intQ,mean_free,scaling_amp,tbeg,tend,noiselevel,madratio,data_path
UO.ALSE,-123.590424,44.381817,2019-01-01T00:00:00+0000 - 2020-01-01T00:00:00+0000,0.5-1.0,0.5,1.0,4.71,0.110,42.840,0.2,4.104630,4.0,17.0,0.00847613,10.0,/home/kffeng/DATA_PNW/pnw_2019/STACK_acfs_HH_2019/
UO.ALSE,-123.590424,44.381817,2019-01-01T00:00:00+0000 - 2020-01-01T00:00:00+0000,1.0-2.0,1.0,2.0,9.42,0.480,19.635,0.2,0.712410,2.0,5.0,0.00328444,10.0,/home/kffeng/DATA_PNW/pnw_2019/STACK_acfs_HH_2019/
UO.ALSE,-123.590424,44.381817,2019-01-01T00:00:00+0000 - 2020-01-01T00:00:00+0000,2.0-4.0,2.0,4.0,18.85,0.070,269.279,0.2,0.251788,1.0,11.0,0.00236314,10.0,/home/kffeng/DATA_PNW/pnw_2019/STACK_acfs_HH_2019/
UO.CHIL,-121.753639,42.624561,2019-01-01T00:00:00+0000 - 2020-01-01T00:00:00+0000,0.5-1.0,0.5,1.0,4.71,0.010,471.239,0.2,2.865140,4.0,13.0,0.06004568,10.0,/home/kffeng/DATA_PNW/pnw_2019/STACK_acfs_HH_2019/
UO.CHIL,-121.753639,42.624561,2019-01-01T00:00:00+0000 - 2020-01-01T00:00:00+0000,1.0-2.0,1.0,2.0,9.42,0.010,942.478,0.2,2.417358,2.0,13.0,0.03709337,10.0,/home/kffeng/DATA_PNW/pnw_2019/STACK_acfs_HH_2019/
UO.CHIL,-121.753639,42.624561,2019-01-01T00:00:00+0000 - 2020-01-01T00:00:00+0000,2.0-4.0,2.0,4.0,18.85,0.010,1884.956,0.2,0.545676,1.0,17.0,0.00646160,10.0,/home/kffeng/DATA_PNW/pnw_2019/STACK_acfs_HH_2019/
UO.DFAZ,-122.109299,43.240601,2019-01-01T00:00:00+0000 - 2020-01-01T00:00:00+0000,0.5-1.0,0.5,1.0,4.71,0.010,471.239,0.2,1.117880,4.0,11.0,0.02227757,10.0,/home/kffeng/DATA_PNW/pnw_2019/STACK_acfs_HH_2019/
UO.DFAZ,-122.109299,43.240601,2019-01-01T00:00:00+0000 - 2020-01-01T00:00:00+0000,1.0-2.0,1.0,2.0,9.42,0.200,47.124,0.2,0.821919,2.0,10.0,0.00224244,10.0,/home/kffeng/DATA_PNW/pnw_2019/STACK_acfs_HH_2019/
UO.DFAZ,-122.109299,43.240601,2019-01-01T00:00:00+0000 - 2020-01-01T00:00:00+0000,2.0-4.0,2.0,4.0,18.85,0.010,1884.956,0.2,1.023200,1.0,14.0,0.01700687,10.0,/home/kffeng/DATA_PNW/pnw_2019/STACK_acfs_HH_2019/
UO.LAIR,-123.931396,43.161499,2019-01-01T00:00:00+0000 - 2020-01-01T00:00:00+0000,0.5-1.0,0.5,1.0,4.71,0.040,117.810,0.2,1.450379,4.0,13.0,0.01564114,10.0,/home/kffeng/DATA_PNW/pnw_2019/STACK_acfs_HH_2019/
UO.LAIR,-123.931396,43.161499,2019-01-01T00:00:00+0000 - 2020-01-01T00:00:00+0000,1.0-2.0,1.0,2.0,9.42,0.680,13.860,0.2,0.270156,2.0,4.0,0.00146764,10.0,/home/kffeng/DATA_PNW/pnw_2019/STACK_acfs_HH_2019/
UO.LAIR,-123.931396,43.161499,2019-01-01T00:00:00+0000 - 2020-01-01T00:00:00+0000,2.0-4.0,2.0,4.0,18.85,2.140,8.808,0.2,0.583481,1.0,2.0,0.00056572,10.0,/home/kffeng/DATA_PNW/pnw_2019/STACK_acfs_HH_2019/
UO.WLOO,-122.737694,44.523418,2019-01-01T00:00:00+0000 - 2020-01-01T00:00:00+0000,0.5-1.0,0.5,1.0,4.71,0.030,157.080,0.2,3.530942,4.0,10.0,0.07145812,10.0,/home/kffeng/DATA_PNW/pnw_2019/STACK_acfs_HH_2019/
UO.WLOO,-122.737694,44.523418,2019-01-01T00:00:00+0000 - 2020-01-01T00:00:00+0000,1.0-2.0,1.0,2.0,9.42,0.220,42.840,0.2,3.210103,2.0,6.0,0.03337852,10.0,/home/kffeng/DATA_PNW/pnw_2019/STACK_acfs_HH_2019/
UO.WLOO,-122.737694,44.523418,2019-01-01T00:00:00+0000 - 2020-01-01T00:00:00+0000,2.0-4.0,2.0,4.0,18.85,0.050,376.991,0.2,1.027926,1.0,4.0,0.03499547,10.0,/home/kffeng/DATA_PNW/pnw_2019/STACK_acfs_HH_2019/
UO.WOOD,-122.304604,42.217899,2019-01-01T00:00:00+0000 - 2020-01-01T00:00:00+0000,0.5-1.0,0.5,1.0,4.71,0.310,15.201,0.2,12.468414,4.0,8.0,0.03195620,10.0,/home/kffeng/DATA_PNW/pnw_2019/STACK_acfs_HH_2019/
UO.WOOD,-122.304604,42.217899,2019-01-01T00:00:00+0000 - 2020-01-01T00:00:00+0000,1.0-2.0,1.0,2.0,9.42,0.010,942.478,0.2,1.670100,2.0,6.0,0.09569001,10.0,/home/kffeng/DATA_PNW/pnw_2019/STACK_acfs_HH_2019/
UO.WOOD,-122.304604,42.217899,2019-01-01T00:00:00+0000 - 2020-01-01T00:00:00+0000,2.0-4.0,2.0,4.0,18.85,0.010,1884.956,0.2,0.784737,1.0,5.0,0.02180851,10.0,/home/kffeng/DATA_PNW/pnw_2019/STACK_acfs_HH_2019/
UW.BERY,-122.096001,48.264099,2019-01-01T00:00:00+0000 - 2020-01-01T00:00:00+0000,0.5-1.0,0.5,1.0,4.71,0.020,235.619,0.2,4.258615,4.0,10.0,0.08426170,10.0,/home/kffeng/DATA_PNW/pnw_2019/STACK_acfs_HH_2019/
UW.BERY,-122.096001,48.264099,2019-01-01T00:00:00+0000 - 2020-01-01T00:00:00+0000,1.0-2.0,1.0,2.0,9.42,0.250,37.699,0.2,0.748399,2.0,7.0,0.00435042,10.0,/home/kffeng/DATA_PNW/pnw_2019/STACK_acfs_HH_2019/
UW.BERY,-122.096001,48.264099,2019-01-01T00:00:00+0000 - 2020-01-01T00:00:00+0000,2.0-4.0,2.0,4.0,18.85,0.590,31.948,0.2,2.434708,1.0,11.0,0.00013558,10.0,/home/kffeng/DATA_PNW/pnw_2019/STACK_acfs_HH_2019/
