netst,stlo,stla,timerange,fband,fmin,fmax,fwcen,intb,intQ,mean_free,scaling_amp,tbeg,tend,noiselevel,madratio,data_path
UO.ALSE,-123.590424,44.381817,2020-01-01T00:00:00+0000 - 2021-01-01T00:00:00+0000,0.5-1.0,0.5,1.0,4.71,0.110,42.840,0.2,4.783754,4.0,19.0,0.00880310,10.0,/home/kffeng/DATA_PNW/pnw_2020/STACK_acfs_HH_2020/
UO.ALSE,-123.590424,44.381817,2020-01-01T00:00:00+0000 - 2021-01-01T00:00:00+0000,1.0-2.0,1.0,2.0,9.42,0.360,26.180,0.2,0.456922,2.0,4.0,0.00704572,10.0,/home/kffeng/DATA_PNW/pnw_2020/STACK_acfs_HH_2020/
UO.ALSE,-123.590424,44.381817,2020-01-01T00:00:00+0000 - 2021-01-01T00:00:00+0000,2.0-4.0,2.0,4.0,18.85,0.010,1884.956,0.2,0.193434,1.0,9.0,0.00421923,10.0,/home/kffeng/DATA_PNW/pnw_2020/STACK_acfs_HH_2020/
UO.CAVE,-123.570709,42.120869,2020-01-01T00:00:00+0000 - 2021-01-01T00:00:00+0000,0.5-1.0,0.5,1.0,4.71,0.080,58.905,0.2,3.045815,4.0,12.0,0.01833896,10.0,/home/kffeng/DATA_PNW/pnw_2020/STACK_acfs_HH_2020/
UO.CAVE,-123.570709,42.120869,2020-01-01T00:00:00+0000 - 2021-01-01T00:00:00+0000,1.0-2.0,1.0,2.0,9.42,0.010,942.478,0.2,1.570540,2.0,4.0,0.11586637,10.0,/home/kffeng/DATA_PNW/pnw_2020/STACK_acfs_HH_2020/
UO.CAVE,-123.570709,42.120869,2020-01-01T00:00:00+0000 - 2021-01-01T00:00:00+0000,2.0-4.0,2.0,4.0,18.85,1.570,12.006,0.2,2.911180,1.0,2.0,0.00777625,10.0,/home/kffeng/DATA_PNW/pnw_2020/STACK_acfs_HH_2020/
UO.CHIL,-121.753639,42.624561,2020-01-01T00:00:00+0000 - 2021-01-01T00:00:00+0000,0.5-1.0,0.5,1.0,4.71,0.010,471.239,0.2,2.744811,4.0,13.0,0.06120988,10.0,/home/kffeng/DATA_PNW/pnw_2020/STACK_acfs_HH_2020/
UO.CHIL,-121.753639,42.624561,2020-01-01T00:00:00+0000 - 2021-01-01T00:00:00+0000,1.0-2.0,1.0,2.0,9.42,0.010,942.478,0.2,1.999696,2.0,18.0,0.02223761,10.0,/home/kffeng/DATA_PNW/pnw_2020/STACK_acfs_HH_2020/
UO.CHIL,-121.753639,42.624561,2020-01-01T00:00:00+0000 - 2021-01-01T00:00:00+0000,2.0-4.0,2.0,4.0,18.85,0.010,1884.956,0.2,0.585722,1.0,14.0,0.00917825,10.0,/home/kffeng/DATA_PNW/pnw_2020/STACK_acfs_HH_2020/
UO.DFAZ,-122.109299,43.240601,2020-01-01T00:00:00+0000 - 2021-01-01T00:00:00+0000,0.5-1.0,0.5,1.0,4.71,0.010,471.239,0.2,1.293732,4.0,10.0,0.02708801,10.0,/home/kffeng/DATA_PNW/pnw_2020/STACK_acfs_HH_2020/
UO.DFAZ,-122.109299,43.240601,2020-01-01T00:00:00+0000 - 2021-01-01T00:00:00+0000,1.0-2.0,1.0,2.0,9.42,0.230,40.977,0.2,0.744008,2.0,11.0,0.00151165,10.0,/home/kffeng/DATA_PNW/pnw_2020/STACK_acfs_HH_2020/
UO.DFAZ,-122.109299,43.240601,2020-01-01T00:00:00+0000 - 2021-01-01T00:00:00+0000,2.0-4.0,2.0,4.0,18.85,0.010,1884.956,0.2,0.843979,1.0,13.0,0.01218467,10.0,/home/kffeng/DATA_PNW/pnw_2020/STACK_acfs_HH_2020/
UO.HBUG,-124.379433,42.640789,2020-01-01T00:00:00+0000 - 2021-01-01T00:00:00+0000,0.5-1.0,0.5,1.0,4.71,0.010,471.239,0.2,0.749111,4.0,14.0,0.00535845,10.0,/home/kffeng/DATA_PNW/pnw_2020/STACK_acfs_HH_2020/
