netst,stlo,stla
CC.ASBU,-121.368401,43.820560
CC.CIHL,-121.148621,43.750969
CC.NORM,-121.252678,43.738960
CC.OBSR,-121.815331,46.899719
CC.PANH,-121.642593,46.859032
CC.PRLK,-121.962639,44.209751
CC.STD,-122.224213,46.237492
CC.SWFL,-122.202026,46.188671
CC.SWNB,-121.355347,43.672741
CC.TCBU,-121.664383,44.240829
CC.TMBU,-121.144508,43.601891
CC.VALT,-122.189247,46.214218
CC.WIFE,-121.817459,44.059662
HW.CCRK,-119.854797,46.558498
HW.DDRF,-119.059502,46.491100
HW.PHIN,-119.927803,45.895100
TA.A04D,-122.706299,48.720100
TA.B05D,-122.096001,48.264099
TA.C06D,-120.894302,47.922901
TA.D03D,-123.089401,47.534698
TA.D04D,-122.772301,47.178600
TA.E04D,-122.567299,46.556599
TA.F04D,-123.010803,46.082901
TA.F05D,-121.459702,45.885201
TA.G03D,-123.264099,45.211498
TA.G05D,-121.316704,45.242199
TA.H04D,-122.737701,44.523399
TA.H17A,-110.576202,44.395100
TA.I02D,-123.846901,44.105900
TA.I03D,-123.348701,43.697201
TA.I04A,-122.411301,43.794102
TA.I05D,-121.339500,44.338600
TA.J01D,-123.931396,43.161400
TA.J04D,-122.109299,43.240501
TA.J05D,-121.234703,43.284801
TA.K02D,-123.665398,42.695499
TA.K04D,-121.753502,42.624599
TA.L02D,-123.603104,42.157799
TA.L04D,-122.304604,42.217999
TA.M02C,-122.853798,41.391998
TA.M04C,-121.839302,41.782600
TA.N02D,-122.705002,40.973999
TA.O02D,-122.788399,40.176601
TA.O03D,-121.801804,40.294701
US.AHID,-111.100403,42.765400
US.BMO,-117.306000,44.852501
US.BOZ,-111.629669,45.596970
US.DUG,-112.813332,40.195000
US.ELK,-115.238800,40.744801
US.HAWA,-119.532700,46.392502
US.HLID,-114.413803,43.562500
US.HWUT,-111.565201,41.606899
US.LKWY,-110.400002,44.565201
US.MSO,-113.940598,46.829201
US.NLWA,-123.869102,47.391701
US.WVOR,-118.636703,42.433899
XT.D01,-113.740097,43.635601
XT.D02,-114.186996,43.612202
XT.D03,-114.643799,43.606499
XT.D04,-115.062897,43.601799
XT.D05,-115.397102,43.678501
XT.D06,-115.848900,43.695499
XT.D07,-113.475800,43.919998
XT.D08,-114.197304,43.938099
XT.D09,-114.656700,43.880299
XT.D10,-115.130203,43.822102
XT.D11,-114.021797,44.071999
XT.D12,-114.849503,44.023499
XT.D14,-115.843300,44.026901
XT.D15,-116.265602,44.011398
XT.D16,-116.644302,44.047298
XT.D17,-117.195503,44.112900
XT.D18,-117.683998,44.031399
XT.D20,-118.449898,44.003601
XT.D21,-118.752296,44.036201
XT.D23,-115.873100,44.278099
XT.D24,-116.301003,44.258598
XT.D25,-116.708900,44.249100
XT.D26,-117.058403,44.309700
XT.D27,-117.605301,44.189701
XT.D28,-118.013802,44.227600
XT.D29,-118.399902,44.215900
XT.D30,-118.814003,44.239601
XT.D31,-113.353996,44.561699
XT.D32,-113.986801,44.533001
XT.D33,-114.349197,44.504501
XT.D34,-115.089798,44.564201
XT.D35,-115.575600,44.528900
XT.D36,-113.706703,44.804401
XT.D37,-114.014900,44.866299
XT.D39,-114.855499,44.549400
XT.D42,-116.354401,44.712700
XT.D43,-116.788399,44.727100
XT.D44,-117.385101,44.725601
XT.D45,-117.780197,44.676701
XT.D47,-118.636299,44.665501
XT.D48,-118.926697,44.635799
XT.D50,-115.745102,45.041698
XT.D51,-116.020103,45.118599
XT.D52,-116.496002,44.987099
XT.D53,-116.767197,45.065800
XT.D54,-117.194801,45.011299
XT.D56,-119.003899,44.905102
XT.D58,-118.073799,45.032299
XT.L01,-113.405701,44.309700
XT.L02,-113.602798,44.306900
XT.L03,-113.842499,44.313702
XT.L04,-114.114197,44.299000
XT.L05,-114.323799,44.253502
XT.L06,-114.461700,44.261101
XT.L07,-114.712700,44.318001
XT.L08,-114.918800,44.266899
XT.L09,-115.063103,44.332600
XT.L10,-115.294800,44.429001
XT.L10A,-115.290001,44.424500
XT.L11,-115.493698,44.418400
XT.L12,-115.640198,44.318199
XT.L13,-115.821098,44.363800
XT.L14,-116.054398,44.410900
XT.L15,-116.248001,44.439701
XT.L16,-116.435699,44.436199
XT.L17,-116.647301,44.459400
XT.L18,-116.827301,44.467800
XT.L19,-117.056297,44.507099
XT.L20,-117.224098,44.462101
XT.L21,-117.468697,44.476700
XT.L22,-117.631203,44.446098
XT.L23,-117.800598,44.486301
XT.L24,-118.000603,44.484001
XT.L25,-118.228203,44.521198
XT.L26,-118.402100,44.554298
XT.L27,-118.591797,44.545300
XT.L28,-118.776604,44.454601
XT.L29,-118.952797,44.427101
