netst,stlo,stla,timerange,fband,fmin,fmax,fwcen,intb,intQ,mean_free,scaling_amp,tbeg,tend,noiselevel,madratio,data_path
CC.ASBU,-121.368401,43.820560,2017-01-01T00:00:00+0000 - 2018-01-01T00:00:00+0000,0.5-1.0,0.5,1.0,4.71,0.400,11.781,0.2,15.915714,4.0,9.0,0.01419844,10.0,/home/kffeng/DATA_PNW/pnw_2017/STACK_acfs_BH_2017/
CC.ASBU,-121.368401,43.820560,2017-01-01T00:00:00+0000 - 2018-01-01T00:00:00+0000,1.0-2.0,1.0,2.0,9.42,0.010,942.478,0.2,0.521137,2.0,18.0,0.00464237,10.0,/home/kffeng/DATA_PNW/pnw_2017/STACK_acfs_BH_2017/
CC.ASBU,-121.368401,43.820560,2017-01-01T00:00:00+0000 - 2018-01-01T00:00:00+0000,2.0-4.0,2.0,4.0,18.85,0.020,942.478,0.2,1.267837,1.0,18.0,0.00900303,10.0,/home/kffeng/DATA_PNW/pnw_2017/STACK_acfs_BH_2017/
CC.CIHL,-121.148621,43.750969,2017-01-01T00:00:00+0000 - 2018-01-01T00:00:00+0000,0.5-1.0,0.5,1.0,4.71,0.170,27.720,0.2,0.677763,4.0,9.0,0.00442871,10.0,/home/kffeng/DATA_PNW/pnw_2017/STACK_acfs_BH_2017/
CC.CIHL,-121.148621,43.750969,2017-01-01T00:00:00+0000 - 2018-01-01T00:00:00+0000,1.0-2.0,1.0,2.0,9.42,0.150,62.832,0.2,1.213230,2.0,8.0,0.01354251,10.0,/home/kffeng/DATA_PNW/pnw_2017/STACK_acfs_BH_2017/
CC.CIHL,-121.148621,43.750969,2017-01-01T00:00:00+0000 - 2018-01-01T00:00:00+0000,2.0-4.0,2.0,4.0,18.85,0.110,171.360,0.2,0.218164,1.0,13.0,0.00064222,10.0,/home/kffeng/DATA_PNW/pnw_2017/STACK_acfs_BH_2017/
CC.CLBH,-122.143494,42.907745,2017-01-01T00:00:00+0000 - 2018-01-01T00:00:00+0000,0.5-1.0,0.5,1.0,4.71,0.080,58.905,0.2,0.785811,4.0,15.0,0.00394682,10.0,/home/kffeng/DATA_PNW/pnw_2017/STACK_acfs_BH_2017/
CC.CLBH,-122.143494,42.907745,2017-01-01T00:00:00+0000 - 2018-01-01T00:00:00+0000,1.0-2.0,1.0,2.0,9.42,0.310,30.403,0.2,2.654441,2.0,11.0,0.00259235,10.0,/home/kffeng/DATA_PNW/pnw_2017/STACK_acfs_BH_2017/
CC.CLBH,-122.143494,42.907745,2017-01-01T00:00:00+0000 - 2018-01-01T00:00:00+0000,2.0-4.0,2.0,4.0,18.85,0.560,33.660,0.2,0.568384,1.0,4.0,0.00453517,10.0,/home/kffeng/DATA_PNW/pnw_2017/STACK_acfs_BH_2017/
CC.CPCO,-121.233192,43.722012,2017-01-01T00:00:00+0000 - 2018-01-01T00:00:00+0000,0.5-1.0,0.5,1.0,4.71,0.120,39.270,0.2,3.361174,4.0,11.0,0.02318379,10.0,/home/kffeng/DATA_PNW/pnw_2017/STACK_acfs_BH_2017/
CC.CPCO,-121.233192,43.722012,2017-01-01T00:00:00+0000 - 2018-01-01T00:00:00+0000,1.0-2.0,1.0,2.0,9.42,0.190,49.604,0.2,6.307846,2.0,19.0,0.00170371,10.0,/home/kffeng/DATA_PNW/pnw_2017/STACK_acfs_BH_2017/
CC.CPCO,-121.233192,43.722012,2017-01-01T00:00:00+0000 - 2018-01-01T00:00:00+0000,2.0-4.0,2.0,4.0,18.85,0.020,942.478,0.2,0.134559,1.0,14.0,0.00078689,10.0,/home/kffeng/DATA_PNW/pnw_2017/STACK_acfs_BH_2017/
CC.NORM,-121.252678,43.738960,2017-01-01T00:00:00+0000 - 2018-01-01T00:00:00+0000,0.5-1.0,0.5,1.0,4.71,0.170,27.720,0.2,2.277772,4.0,10.0,0.01214274,10.0,/home/kffeng/DATA_PNW/pnw_2017/STACK_acfs_BH_2017/
CC.NORM,-121.252678,43.738960,2017-01-01T00:00:00+0000 - 2018-01-01T00:00:00+0000,1.0-2.0,1.0,2.0,9.42,0.130,72.498,0.2,1.182065,2.0,15.0,0.00318459,10.0,/home/kffeng/DATA_PNW/pnw_2017/STACK_acfs_BH_2017/
CC.NORM,-121.252678,43.738960,2017-01-01T00:00:00+0000 - 2018-01-01T00:00:00+0000,2.0-4.0,2.0,4.0,18.85,0.050,376.991,0.2,0.471883,1.0,12.0,0.00425610,10.0,/home/kffeng/DATA_PNW/pnw_2017/STACK_acfs_BH_2017/
CC.OBSR,-121.815331,46.899719,2017-01-01T00:00:00+0000 - 2018-01-01T00:00:00+0000,0.5-1.0,0.5,1.0,4.71,0.010,471.239,0.2,5.051533,4.0,12.0,0.09785986,10.0,/home/kffeng/DATA_PNW/pnw_2017/STACK_acfs_BH_2017/
CC.OBSR,-121.815331,46.899719,2017-01-01T00:00:00+0000 - 2018-01-01T00:00:00+0000,1.0-2.0,1.0,2.0,9.42,0.170,55.440,0.2,1.893935,2.0,13.0,0.00403056,10.0,/home/kffeng/DATA_PNW/pnw_2017/STACK_acfs_BH_2017/
CC.OBSR,-121.815331,46.899719,2017-01-01T00:00:00+0000 - 2018-01-01T00:00:00+0000,2.0-4.0,2.0,4.0,18.85,0.420,44.880,0.2,1.290329,1.0,11.0,0.00026637,10.0,/home/kffeng/DATA_PNW/pnw_2017/STACK_acfs_BH_2017/
CC.PANH,-121.642593,46.859032,2017-01-01T00:00:00+0000 - 2018-01-01T00:00:00+0000,0.5-1.0,0.5,1.0,4.71,0.020,235.619,0.2,0.744905,4.0,8.0,0.01924731,10.0,/home/kffeng/DATA_PNW/pnw_2017/STACK_acfs_BH_2017/
CC.PANH,-121.642593,46.859032,2017-01-01T00:00:00+0000 - 2018-01-01T00:00:00+0000,1.0-2.0,1.0,2.0,9.42,0.450,20.944,0.2,1.540681,2.0,5.0,0.00919002,10.0,/home/kffeng/DATA_PNW/pnw_2017/STACK_acfs_BH_2017/
CC.PANH,-121.642593,46.859032,2017-01-01T00:00:00+0000 - 2018-01-01T00:00:00+0000,2.0-4.0,2.0,4.0,18.85,1.030,18.301,0.2,2.188883,1.0,3.0,0.00379006,10.0,/home/kffeng/DATA_PNW/pnw_2017/STACK_acfs_BH_2017/
CC.SHRK,-121.528770,45.464317,2017-01-01T00:00:00+0000 - 2018-01-01T00:00:00+0000,0.5-1.0,0.5,1.0,4.71,0.190,24.802,0.2,10.729280,4.0,9.0,0.06916982,10.0,/home/kffeng/DATA_PNW/pnw_2017/STACK_acfs_BH_2017/
CC.SHRK,-121.528770,45.464317,2017-01-01T00:00:00+0000 - 2018-01-01T00:00:00+0000,1.0-2.0,1.0,2.0,9.42,0.010,942.478,0.2,3.683109,2.0,18.0,0.06759385,10.0,/home/kffeng/DATA_PNW/pnw_2017/STACK_acfs_BH_2017/
CC.SHRK,-121.528770,45.464317,2017-01-01T00:00:00+0000 - 2018-01-01T00:00:00+0000,2.0-4.0,2.0,4.0,18.85,0.010,1884.956,0.2,0.684092,1.0,12.0,0.02517252,10.0,/home/kffeng/DATA_PNW/pnw_2017/STACK_acfs_BH_2017/
CC.SWF2,-122.216766,46.178349,2017-01-01T00:00:00+0000 - 2018-01-01T00:00:00+0000,0.5-1.0,0.5,1.0,4.71,0.010,471.239,0.2,6.767484,4.0,8.0,0.24654541,10.0,/home/kffeng/DATA_PNW/pnw_2017/STACK_acfs_BH_2017/
CC.SWF2,-122.216766,46.178349,2017-01-01T00:00:00+0000 - 2018-01-01T00:00:00+0000,1.0-2.0,1.0,2.0,9.42,0.150,62.832,0.2,3.102106,2.0,6.0,0.06526133,10.0,/home/kffeng/DATA_PNW/pnw_2017/STACK_acfs_BH_2017/
CC.SWF2,-122.216766,46.178349,2017-01-01T00:00:00+0000 - 2018-01-01T00:00:00+0000,2.0-4.0,2.0,4.0,18.85,0.010,1884.956,0.2,0.383501,1.0,11.0,0.00743329,10.0,/home/kffeng/DATA_PNW/pnw_2017/STACK_acfs_BH_2017/
CC.TMBU,-121.144508,43.601891,2017-01-01T00:00:00+0000 - 2018-01-01T00:00:00+0000,0.5-1.0,0.5,1.0,4.71,0.310,15.201,0.2,6.455289,4.0,10.0,0.00835027,10.0,/home/kffeng/DATA_PNW/pnw_2017/STACK_acfs_BH_2017/
CC.TMBU,-121.144508,43.601891,2017-01-01T00:00:00+0000 - 2018-01-01T00:00:00+0000,1.0-2.0,1.0,2.0,9.42,0.120,78.540,0.2,0.871733,2.0,8.0,0.00677714,10.0,/home/kffeng/DATA_PNW/pnw_2017/STACK_acfs_BH_2017/
CC.TMBU,-121.144508,43.601891,2017-01-01T00:00:00+0000 - 2018-01-01T00:00:00+0000,2.0-4.0,2.0,4.0,18.85,0.260,72.498,0.2,0.569406,1.0,7.0,0.00326034,10.0,/home/kffeng/DATA_PNW/pnw_2017/STACK_acfs_BH_2017/
TA.H17A,-110.576202,44.395100,2017-01-01T00:00:00+0000 - 2018-01-01T00:00:00+0000,0.5-1.0,0.5,1.0,4.71,0.040,117.810,0.2,6.619990,4.0,12.0,0.10586130,10.0,/home/kffeng/DATA_PNW/pnw_2017/STACK_acfs_BH_2017/
TA.H17A,-110.576202,44.395100,2017-01-01T00:00:00+0000 - 2018-01-01T00:00:00+0000,1.0-2.0,1.0,2.0,9.42,0.230,40.977,0.2,2.054557,2.0,8.0,0.01424197,10.0,/home/kffeng/DATA_PNW/pnw_2017/STACK_acfs_BH_2017/
TA.H17A,-110.576202,44.395100,2017-01-01T00:00:00+0000 - 2018-01-01T00:00:00+0000,2.0-4.0,2.0,4.0,18.85,0.250,75.398,0.2,0.601984,1.0,10.0,0.00106186,10.0,/home/kffeng/DATA_PNW/pnw_2017/STACK_acfs_BH_2017/
TA.P29M,-137.738098,59.630402,2017-01-01T00:00:00+0000 - 2018-01-01T00:00:00+0000,0.5-1.0,0.5,1.0,4.71,0.050,94.248,0.2,2.450652,4.0,17.0,0.01456075,10.0,/home/kffeng/DATA_PNW/pnw_2017/STACK_acfs_BH_2017/
TA.P29M,-137.738098,59.630402,2017-01-01T00:00:00+0000 - 2018-01-01T00:00:00+0000,1.0-2.0,1.0,2.0,9.42,0.140,67.320,0.2,3.481814,2.0,8.0,0.03654390,10.0,/home/kffeng/DATA_PNW/pnw_2017/STACK_acfs_BH_2017/
TA.P29M,-137.738098,59.630402,2017-01-01T00:00:00+0000 - 2018-01-01T00:00:00+0000,2.0-4.0,2.0,4.0,18.85,0.840,22.440,0.2,1.435578,1.0,6.0,0.00050363,10.0,/home/kffeng/DATA_PNW/pnw_2017/STACK_acfs_BH_2017/
TA.R31K,-135.739807,58.413300,2017-01-01T00:00:00+0000 - 2018-01-01T00:00:00+0000,0.5-1.0,0.5,1.0,4.71,0.370,12.736,0.2,38.025087,4.0,14.0,0.00719206,10.0,/home/kffeng/DATA_PNW/pnw_2017/STACK_acfs_BH_2017/
TA.R31K,-135.739807,58.413300,2017-01-01T00:00:00+0000 - 2018-01-01T00:00:00+0000,1.0-2.0,1.0,2.0,9.42,0.750,12.566,0.2,7.073656,2.0,7.0,0.00203003,10.0,/home/kffeng/DATA_PNW/pnw_2017/STACK_acfs_BH_2017/
TA.R31K,-135.739807,58.413300,2017-01-01T00:00:00+0000 - 2018-01-01T00:00:00+0000,2.0-4.0,2.0,4.0,18.85,0.100,188.496,0.2,0.734861,1.0,14.0,0.00236648,10.0,/home/kffeng/DATA_PNW/pnw_2017/STACK_acfs_BH_2017/
TA.S34M,-131.131195,57.912800,2017-01-01T00:00:00+0000 - 2018-01-01T00:00:00+0000,0.5-1.0,0.5,1.0,4.71,0.010,471.239,0.2,1.025331,4.0,11.0,0.01773377,10.0,/home/kffeng/DATA_PNW/pnw_2017/STACK_acfs_BH_2017/
TA.S34M,-131.131195,57.912800,2017-01-01T00:00:00+0000 - 2018-01-01T00:00:00+0000,1.0-2.0,1.0,2.0,9.42,0.060,157.080,0.2,0.972261,2.0,9.0,0.00825668,10.0,/home/kffeng/DATA_PNW/pnw_2017/STACK_acfs_BH_2017/
TA.S34M,-131.131195,57.912800,2017-01-01T00:00:00+0000 - 2018-01-01T00:00:00+0000,2.0-4.0,2.0,4.0,18.85,0.350,53.856,0.2,1.423265,1.0,9.0,0.00186392,10.0,/home/kffeng/DATA_PNW/pnw_2017/STACK_acfs_BH_2017/
TA.T33K,-132.952393,56.814400,2017-01-01T00:00:00+0000 - 2018-01-01T00:00:00+0000,0.5-1.0,0.5,1.0,4.71,0.260,18.125,0.2,2.910269,4.0,12.0,0.00402294,10.0,/home/kffeng/DATA_PNW/pnw_2017/STACK_acfs_BH_2017/
TA.T33K,-132.952393,56.814400,2017-01-01T00:00:00+0000 - 2018-01-01T00:00:00+0000,1.0-2.0,1.0,2.0,9.42,0.730,12.911,0.2,0.700771,2.0,6.0,0.00033659,10.0,/home/kffeng/DATA_PNW/pnw_2017/STACK_acfs_BH_2017/
TA.T33K,-132.952393,56.814400,2017-01-01T00:00:00+0000 - 2018-01-01T00:00:00+0000,2.0-4.0,2.0,4.0,18.85,0.710,26.549,0.2,5.423718,1.0,11.0,0.00007873,10.0,/home/kffeng/DATA_PNW/pnw_2017/STACK_acfs_BH_2017/
TA.T35M,-130.249603,56.981098,2017-01-01T00:00:00+0000 - 2018-01-01T00:00:00+0000,0.5-1.0,0.5,1.0,4.71,0.010,471.239,0.2,4.088976,4.0,14.0,0.09722044,10.0,/home/kffeng/DATA_PNW/pnw_2017/STACK_acfs_BH_2017/
TA.T35M,-130.249603,56.981098,2017-01-01T00:00:00+0000 - 2018-01-01T00:00:00+0000,1.0-2.0,1.0,2.0,9.42,0.340,27.720,0.2,1.740358,2.0,7.0,0.00608992,10.0,/home/kffeng/DATA_PNW/pnw_2017/STACK_acfs_BH_2017/
TA.T35M,-130.249603,56.981098,2017-01-01T00:00:00+0000 - 2018-01-01T00:00:00+0000,2.0-4.0,2.0,4.0,18.85,0.620,30.403,0.2,1.137297,1.0,5.0,0.00184646,10.0,/home/kffeng/DATA_PNW/pnw_2017/STACK_acfs_BH_2017/
