netst,stlo,stla,timerange,fband,fmin,fmax,fwcen,intb,intQ,mean_free,scaling_amp,tbeg,tend,noiselevel,madratio,data_path
CC.ASBU,-121.368401,43.820560,2016-01-01T00:00:00+0000 - 2017-01-01T00:00:00+0000,0.5-1.0,0.5,1.0,4.71,0.390,12.083,0.2,18.924162,4.0,10.0,0.01511526,10.0,/home/kffeng/DATA_PNW/pnw_2016/STACK_acfs_BH_2016/
CC.ASBU,-121.368401,43.820560,2016-01-01T00:00:00+0000 - 2017-01-01T00:00:00+0000,1.0-2.0,1.0,2.0,9.42,0.010,942.478,0.2,0.569986,2.0,17.0,0.00669490,10.0,/home/kffeng/DATA_PNW/pnw_2016/STACK_acfs_BH_2016/
CC.ASBU,-121.368401,43.820560,2016-01-01T00:00:00+0000 - 2017-01-01T00:00:00+0000,2.0-4.0,2.0,4.0,18.85,0.030,628.319,0.2,1.057311,1.0,18.0,0.00729973,10.0,/home/kffeng/DATA_PNW/pnw_2016/STACK_acfs_BH_2016/
CC.CIHL,-121.148621,43.750969,2016-01-01T00:00:00+0000 - 2017-01-01T00:00:00+0000,0.5-1.0,0.5,1.0,4.71,0.120,39.270,0.2,0.556918,4.0,9.0,0.00367088,10.0,/home/kffeng/DATA_PNW/pnw_2016/STACK_acfs_BH_2016/
CC.CIHL,-121.148621,43.750969,2016-01-01T00:00:00+0000 - 2017-01-01T00:00:00+0000,1.0-2.0,1.0,2.0,9.42,0.070,134.640,0.2,0.817438,2.0,14.0,0.00654628,10.0,/home/kffeng/DATA_PNW/pnw_2016/STACK_acfs_BH_2016/
CC.CIHL,-121.148621,43.750969,2016-01-01T00:00:00+0000 - 2017-01-01T00:00:00+0000,2.0-4.0,2.0,4.0,18.85,0.090,209.440,0.2,0.189101,1.0,13.0,0.00082534,10.0,/home/kffeng/DATA_PNW/pnw_2016/STACK_acfs_BH_2016/
CC.CLBH,-122.143494,42.907745,2016-01-01T00:00:00+0000 - 2017-01-01T00:00:00+0000,0.5-1.0,0.5,1.0,4.71,0.120,39.270,0.2,1.118160,4.0,12.0,0.00576402,10.0,/home/kffeng/DATA_PNW/pnw_2016/STACK_acfs_BH_2016/
CC.CLBH,-122.143494,42.907745,2016-01-01T00:00:00+0000 - 2017-01-01T00:00:00+0000,1.0-2.0,1.0,2.0,9.42,0.350,26.928,0.2,2.440945,2.0,10.0,0.00280345,10.0,/home/kffeng/DATA_PNW/pnw_2016/STACK_acfs_BH_2016/
CC.CLBH,-122.143494,42.907745,2016-01-01T00:00:00+0000 - 2017-01-01T00:00:00+0000,2.0-4.0,2.0,4.0,18.85,1.360,13.860,0.2,1.933222,1.0,2.0,0.01459297,10.0,/home/kffeng/DATA_PNW/pnw_2016/STACK_acfs_BH_2016/
CC.CPCO,-121.233192,43.722012,2016-01-01T00:00:00+0000 - 2017-01-01T00:00:00+0000,0.5-1.0,0.5,1.0,4.71,0.070,67.320,0.2,5.365138,4.0,13.0,0.05109023,10.0,/home/kffeng/DATA_PNW/pnw_2016/STACK_acfs_BH_2016/
CC.CPCO,-121.233192,43.722012,2016-01-01T00:00:00+0000 - 2017-01-01T00:00:00+0000,1.0-2.0,1.0,2.0,9.42,0.190,49.604,0.2,4.312774,2.0,20.0,0.00150834,10.0,/home/kffeng/DATA_PNW/pnw_2016/STACK_acfs_BH_2016/
CC.CPCO,-121.233192,43.722012,2016-01-01T00:00:00+0000 - 2017-01-01T00:00:00+0000,2.0-4.0,2.0,4.0,18.85,0.120,157.080,0.2,0.453250,1.0,16.0,0.00060704,10.0,/home/kffeng/DATA_PNW/pnw_2016/STACK_acfs_BH_2016/
CC.NORM,-121.252678,43.738960,2016-01-01T00:00:00+0000 - 2017-01-01T00:00:00+0000,0.5-1.0,0.5,1.0,4.71,0.150,31.416,0.2,4.579923,4.0,14.0,0.01364692,10.0,/home/kffeng/DATA_PNW/pnw_2016/STACK_acfs_BH_2016/
CC.NORM,-121.252678,43.738960,2016-01-01T00:00:00+0000 - 2017-01-01T00:00:00+0000,1.0-2.0,1.0,2.0,9.42,0.140,67.320,0.2,1.833159,2.0,14.0,0.00483989,10.0,/home/kffeng/DATA_PNW/pnw_2016/STACK_acfs_BH_2016/
CC.NORM,-121.252678,43.738960,2016-01-01T00:00:00+0000 - 2017-01-01T00:00:00+0000,2.0-4.0,2.0,4.0,18.85,0.100,188.496,0.2,0.814718,1.0,16.0,0.00129460,10.0,/home/kffeng/DATA_PNW/pnw_2016/STACK_acfs_BH_2016/
CC.OBSR,-121.815331,46.899719,2016-01-01T00:00:00+0000 - 2017-01-01T00:00:00+0000,0.5-1.0,0.5,1.0,4.71,0.010,471.239,0.2,3.377377,4.0,12.0,0.05445703,10.0,/home/kffeng/DATA_PNW/pnw_2016/STACK_acfs_BH_2016/
CC.OBSR,-121.815331,46.899719,2016-01-01T00:00:00+0000 - 2017-01-01T00:00:00+0000,1.0-2.0,1.0,2.0,9.42,0.180,52.360,0.2,1.798172,2.0,11.0,0.00471284,10.0,/home/kffeng/DATA_PNW/pnw_2016/STACK_acfs_BH_2016/
CC.OBSR,-121.815331,46.899719,2016-01-01T00:00:00+0000 - 2017-01-01T00:00:00+0000,2.0-4.0,2.0,4.0,18.85,0.390,48.332,0.2,1.073902,1.0,11.0,0.00026556,10.0,/home/kffeng/DATA_PNW/pnw_2016/STACK_acfs_BH_2016/
CC.PANH,-121.642593,46.859032,2016-01-01T00:00:00+0000 - 2017-01-01T00:00:00+0000,0.5-1.0,0.5,1.0,4.71,0.070,67.320,0.2,0.691451,4.0,8.0,0.01357200,10.0,/home/kffeng/DATA_PNW/pnw_2016/STACK_acfs_BH_2016/
CC.PANH,-121.642593,46.859032,2016-01-01T00:00:00+0000 - 2017-01-01T00:00:00+0000,1.0-2.0,1.0,2.0,9.42,1.440,6.545,0.2,10.515360,2.0,4.0,0.00346132,10.0,/home/kffeng/DATA_PNW/pnw_2016/STACK_acfs_BH_2016/
CC.PANH,-121.642593,46.859032,2016-01-01T00:00:00+0000 - 2017-01-01T00:00:00+0000,2.0-4.0,2.0,4.0,18.85,0.880,21.420,0.2,1.453764,1.0,4.0,0.00319924,10.0,/home/kffeng/DATA_PNW/pnw_2016/STACK_acfs_BH_2016/
CC.SHRK,-121.528770,45.464317,2016-01-01T00:00:00+0000 - 2017-01-01T00:00:00+0000,0.5-1.0,0.5,1.0,4.71,0.200,23.562,0.2,9.384671,4.0,8.0,0.06601397,10.0,/home/kffeng/DATA_PNW/pnw_2016/STACK_acfs_BH_2016/
CC.SHRK,-121.528770,45.464317,2016-01-01T00:00:00+0000 - 2017-01-01T00:00:00+0000,1.0-2.0,1.0,2.0,9.42,0.010,942.478,0.2,2.034539,2.0,11.0,0.05779537,10.0,/home/kffeng/DATA_PNW/pnw_2016/STACK_acfs_BH_2016/
CC.SHRK,-121.528770,45.464317,2016-01-01T00:00:00+0000 - 2017-01-01T00:00:00+0000,2.0-4.0,2.0,4.0,18.85,0.010,1884.956,0.2,0.089983,1.0,3.0,0.00700369,10.0,/home/kffeng/DATA_PNW/pnw_2016/STACK_acfs_BH_2016/
