netst,stlo,stla,timerange,fband,fmin,fmax,fwcen,intb,intQ,mean_free,scaling_amp,tbeg,tend,noiselevel,madratio,data_path
LI.LTH,-119.417679,46.461700,2006-01-01T00:00:00+0000 - 2007-01-01T00:00:00+0000,0.5-1.0,0.5,1.0,4.71,0.080,58.905,0.2,2.890099,4.0,14.0,0.01773907,10.0,/home/kffeng/DATA_PNW/pnw_2006/STACK_acfs_BH_2006/
LI.LTH,-119.417679,46.461700,2006-01-01T00:00:00+0000 - 2007-01-01T00:00:00+0000,1.0-2.0,1.0,2.0,9.42,0.010,942.478,0.2,4.112496,2.0,10.0,0.11844733,10.0,/home/kffeng/DATA_PNW/pnw_2006/STACK_acfs_BH_2006/
LI.LTH,-119.417679,46.461700,2006-01-01T00:00:00+0000 - 2007-01-01T00:00:00+0000,2.0-4.0,2.0,4.0,18.85,0.010,1884.956,0.2,1.613472,1.0,15.0,0.01789435,10.0,/home/kffeng/DATA_PNW/pnw_2006/STACK_acfs_BH_2006/
TA.A04A,-122.707001,48.719700,2006-01-01T00:00:00+0000 - 2007-01-01T00:00:00+0000,0.5-1.0,0.5,1.0,4.71,0.090,52.360,0.2,2.588305,4.0,10.0,0.03272081,10.0,/home/kffeng/DATA_PNW/pnw_2006/STACK_acfs_BH_2006/
TA.A04A,-122.707001,48.719700,2006-01-01T00:00:00+0000 - 2007-01-01T00:00:00+0000,1.0-2.0,1.0,2.0,9.42,0.550,17.136,0.2,8.357659,2.0,6.0,0.01914273,10.0,/home/kffeng/DATA_PNW/pnw_2006/STACK_acfs_BH_2006/
TA.A04A,-122.707001,48.719700,2006-01-01T00:00:00+0000 - 2007-01-01T00:00:00+0000,2.0-4.0,2.0,4.0,18.85,1.780,10.590,0.2,1.328336,1.0,2.0,0.00539381,10.0,/home/kffeng/DATA_PNW/pnw_2006/STACK_acfs_BH_2006/
TA.B04A,-123.503998,48.057499,2006-01-01T00:00:00+0000 - 2007-01-01T00:00:00+0000,0.5-1.0,0.5,1.0,4.71,0.010,471.239,0.2,0.562222,4.0,15.0,0.00544420,10.0,/home/kffeng/DATA_PNW/pnw_2006/STACK_acfs_BH_2006/
TA.B04A,-123.503998,48.057499,2006-01-01T00:00:00+0000 - 2007-01-01T00:00:00+0000,1.0-2.0,1.0,2.0,9.42,0.070,134.640,0.2,0.872049,2.0,7.0,0.01579271,10.0,/home/kffeng/DATA_PNW/pnw_2006/STACK_acfs_BH_2006/
TA.B04A,-123.503998,48.057499,2006-01-01T00:00:00+0000 - 2007-01-01T00:00:00+0000,2.0-4.0,2.0,4.0,18.85,0.190,99.208,0.2,1.686171,1.0,4.0,0.03148176,10.0,/home/kffeng/DATA_PNW/pnw_2006/STACK_acfs_BH_2006/
TA.B05A,-122.096001,48.264099,2006-01-01T00:00:00+0000 - 2007-01-01T00:00:00+0000,0.5-1.0,0.5,1.0,4.71,0.010,471.239,0.2,3.307829,4.0,9.0,0.09368913,10.0,/home/kffeng/DATA_PNW/pnw_2006/STACK_acfs_BH_2006/
TA.B05A,-122.096001,48.264099,2006-01-01T00:00:00+0000 - 2007-01-01T00:00:00+0000,1.0-2.0,1.0,2.0,9.42,0.990,9.520,0.2,3.241681,2.0,4.0,0.00526980,10.0,/home/kffeng/DATA_PNW/pnw_2006/STACK_acfs_BH_2006/
TA.B05A,-122.096001,48.264099,2006-01-01T00:00:00+0000 - 2007-01-01T00:00:00+0000,2.0-4.0,2.0,4.0,18.85,0.920,20.489,0.2,3.893168,1.0,7.0,0.00029718,10.0,/home/kffeng/DATA_PNW/pnw_2006/STACK_acfs_BH_2006/
TA.C05A,-121.689499,47.694698,2006-01-01T00:00:00+0000 - 2007-01-01T00:00:00+0000,0.5-1.0,0.5,1.0,4.71,0.340,13.860,0.2,10.827737,4.0,12.0,0.00498396,10.0,/home/kffeng/DATA_PNW/pnw_2006/STACK_acfs_BH_2006/
TA.C05A,-121.689499,47.694698,2006-01-01T00:00:00+0000 - 2007-01-01T00:00:00+0000,1.0-2.0,1.0,2.0,9.42,0.040,235.619,0.2,0.232883,2.0,14.0,0.00156919,10.0,/home/kffeng/DATA_PNW/pnw_2006/STACK_acfs_BH_2006/
TA.C05A,-121.689499,47.694698,2006-01-01T00:00:00+0000 - 2007-01-01T00:00:00+0000,2.0-4.0,2.0,4.0,18.85,0.370,50.945,0.2,1.257116,1.0,14.0,0.00009837,10.0,/home/kffeng/DATA_PNW/pnw_2006/STACK_acfs_BH_2006/
TA.D05A,-121.988800,47.188099,2006-01-01T00:00:00+0000 - 2007-01-01T00:00:00+0000,0.5-1.0,0.5,1.0,4.71,0.090,52.360,0.2,4.143311,4.0,12.0,0.03402043,10.0,/home/kffeng/DATA_PNW/pnw_2006/STACK_acfs_BH_2006/
TA.D05A,-121.988800,47.188099,2006-01-01T00:00:00+0000 - 2007-01-01T00:00:00+0000,1.0-2.0,1.0,2.0,9.42,0.300,31.416,0.2,1.075630,2.0,6.0,0.01047293,10.0,/home/kffeng/DATA_PNW/pnw_2006/STACK_acfs_BH_2006/
TA.D05A,-121.988800,47.188099,2006-01-01T00:00:00+0000 - 2007-01-01T00:00:00+0000,2.0-4.0,2.0,4.0,18.85,0.360,52.360,0.2,1.536183,1.0,6.0,0.00677807,10.0,/home/kffeng/DATA_PNW/pnw_2006/STACK_acfs_BH_2006/
TA.E03A,-123.563202,46.545898,2006-01-01T00:00:00+0000 - 2007-01-01T00:00:00+0000,0.5-1.0,0.5,1.0,4.71,0.250,18.850,0.2,8.353281,4.0,10.0,0.02395104,10.0,/home/kffeng/DATA_PNW/pnw_2006/STACK_acfs_BH_2006/
TA.E03A,-123.563202,46.545898,2006-01-01T00:00:00+0000 - 2007-01-01T00:00:00+0000,1.0-2.0,1.0,2.0,9.42,0.480,19.635,0.2,2.252600,2.0,5.0,0.01220795,10.0,/home/kffeng/DATA_PNW/pnw_2006/STACK_acfs_BH_2006/
TA.E03A,-123.563202,46.545898,2006-01-01T00:00:00+0000 - 2007-01-01T00:00:00+0000,2.0-4.0,2.0,4.0,18.85,0.200,94.248,0.2,0.220387,1.0,6.0,0.00288223,10.0,/home/kffeng/DATA_PNW/pnw_2006/STACK_acfs_BH_2006/
TA.E05A,-121.760803,46.560501,2006-01-01T00:00:00+0000 - 2007-01-01T00:00:00+0000,0.5-1.0,0.5,1.0,4.71,0.160,29.452,0.2,5.277180,4.0,10.0,0.03718953,10.0,/home/kffeng/DATA_PNW/pnw_2006/STACK_acfs_BH_2006/
TA.E05A,-121.760803,46.560501,2006-01-01T00:00:00+0000 - 2007-01-01T00:00:00+0000,1.0-2.0,1.0,2.0,9.42,0.010,942.478,0.2,1.561538,2.0,4.0,0.12537339,10.0,/home/kffeng/DATA_PNW/pnw_2006/STACK_acfs_BH_2006/
TA.E05A,-121.760803,46.560501,2006-01-01T00:00:00+0000 - 2007-01-01T00:00:00+0000,2.0-4.0,2.0,4.0,18.85,0.010,1884.956,0.2,1.918840,1.0,20.0,0.01421107,10.0,/home/kffeng/DATA_PNW/pnw_2006/STACK_acfs_BH_2006/
TA.ELFS,-120.727898,40.618301,2006-01-01T00:00:00+0000 - 2007-01-01T00:00:00+0000,0.5-1.0,0.5,1.0,4.71,0.310,15.201,0.2,11.341351,4.0,12.0,0.00835198,10.0,/home/kffeng/DATA_PNW/pnw_2006/STACK_acfs_BH_2006/
TA.ELFS,-120.727898,40.618301,2006-01-01T00:00:00+0000 - 2007-01-01T00:00:00+0000,1.0-2.0,1.0,2.0,9.42,0.190,49.604,0.2,0.783145,2.0,18.0,0.00031803,10.0,/home/kffeng/DATA_PNW/pnw_2006/STACK_acfs_BH_2006/
TA.ELFS,-120.727898,40.618301,2006-01-01T00:00:00+0000 - 2007-01-01T00:00:00+0000,2.0-4.0,2.0,4.0,18.85,0.640,29.452,0.2,0.651673,1.0,3.0,0.00591850,10.0,/home/kffeng/DATA_PNW/pnw_2006/STACK_acfs_BH_2006/
TA.F03A,-123.559097,45.930599,2006-01-01T00:00:00+0000 - 2007-01-01T00:00:00+0000,0.5-1.0,0.5,1.0,4.71,0.010,471.239,0.2,3.388701,4.0,9.0,0.07348388,10.0,/home/kffeng/DATA_PNW/pnw_2006/STACK_acfs_BH_2006/
TA.F03A,-123.559097,45.930599,2006-01-01T00:00:00+0000 - 2007-01-01T00:00:00+0000,1.0-2.0,1.0,2.0,9.42,0.130,72.498,0.2,0.616892,2.0,5.0,0.01136412,10.0,/home/kffeng/DATA_PNW/pnw_2006/STACK_acfs_BH_2006/
TA.F03A,-123.559097,45.930599,2006-01-01T00:00:00+0000 - 2007-01-01T00:00:00+0000,2.0-4.0,2.0,4.0,18.85,0.580,32.499,0.2,2.661531,1.0,8.0,0.00116261,10.0,/home/kffeng/DATA_PNW/pnw_2006/STACK_acfs_BH_2006/
TA.F05A,-121.458801,45.883900,2006-01-01T00:00:00+0000 - 2007-01-01T00:00:00+0000,0.5-1.0,0.5,1.0,4.71,0.200,23.562,0.2,4.530749,4.0,12.0,0.00842794,10.0,/home/kffeng/DATA_PNW/pnw_2006/STACK_acfs_BH_2006/
