netst,stlo,stla,timerange,fband,fmin,fmax,fwcen,intb,intQ,mean_free,scaling_amp,tbeg,tend,noiselevel,madratio,data_path
CC.ASBU,-121.368401,43.820560,2013-01-01T00:00:00+0000 - 2014-01-01T00:00:00+0000,0.5-1.0,0.5,1.0,4.71,0.320,14.726,0.2,16.372446,4.0,9.0,0.02970300,10.0,/home/kffeng/DATA_PNW/pnw_2013/STACK_acfs_BH_2013/
CC.ASBU,-121.368401,43.820560,2013-01-01T00:00:00+0000 - 2014-01-01T00:00:00+0000,1.0-2.0,1.0,2.0,9.42,0.010,942.478,0.2,0.758217,2.0,17.0,0.00810092,10.0,/home/kffeng/DATA_PNW/pnw_2013/STACK_acfs_BH_2013/
CC.ASBU,-121.368401,43.820560,2013-01-01T00:00:00+0000 - 2014-01-01T00:00:00+0000,2.0-4.0,2.0,4.0,18.85,0.020,942.478,0.2,0.803101,1.0,14.0,0.00570517,10.0,/home/kffeng/DATA_PNW/pnw_2013/STACK_acfs_BH_2013/
CC.CIHL,-121.148621,43.750969,2013-01-01T00:00:00+0000 - 2014-01-01T00:00:00+0000,0.5-1.0,0.5,1.0,4.71,0.180,26.180,0.2,1.327576,4.0,9.0,0.00690809,10.0,/home/kffeng/DATA_PNW/pnw_2013/STACK_acfs_BH_2013/
CC.CIHL,-121.148621,43.750969,2013-01-01T00:00:00+0000 - 2014-01-01T00:00:00+0000,1.0-2.0,1.0,2.0,9.42,0.110,85.680,0.2,0.628607,2.0,6.0,0.01040718,10.0,/home/kffeng/DATA_PNW/pnw_2013/STACK_acfs_BH_2013/
CC.CIHL,-121.148621,43.750969,2013-01-01T00:00:00+0000 - 2014-01-01T00:00:00+0000,2.0-4.0,2.0,4.0,18.85,0.050,376.991,0.2,0.257410,1.0,12.0,0.00219381,10.0,/home/kffeng/DATA_PNW/pnw_2013/STACK_acfs_BH_2013/
CC.CPCO,-121.233192,43.722012,2013-01-01T00:00:00+0000 - 2014-01-01T00:00:00+0000,0.5-1.0,0.5,1.0,4.71,0.060,78.540,0.2,4.696510,4.0,13.0,0.05243506,10.0,/home/kffeng/DATA_PNW/pnw_2013/STACK_acfs_BH_2013/
CC.CPCO,-121.233192,43.722012,2013-01-01T00:00:00+0000 - 2014-01-01T00:00:00+0000,1.0-2.0,1.0,2.0,9.42,0.190,49.604,0.2,3.004381,2.0,16.0,0.00143858,10.0,/home/kffeng/DATA_PNW/pnw_2013/STACK_acfs_BH_2013/
CC.CPCO,-121.233192,43.722012,2013-01-01T00:00:00+0000 - 2014-01-01T00:00:00+0000,2.0-4.0,2.0,4.0,18.85,0.080,235.619,0.2,0.306405,1.0,16.0,0.00091239,10.0,/home/kffeng/DATA_PNW/pnw_2013/STACK_acfs_BH_2013/
CC.NORM,-121.252678,43.738960,2013-01-01T00:00:00+0000 - 2014-01-01T00:00:00+0000,0.5-1.0,0.5,1.0,4.71,0.160,29.452,0.2,3.826665,4.0,11.0,0.01661182,10.0,/home/kffeng/DATA_PNW/pnw_2013/STACK_acfs_BH_2013/
CC.NORM,-121.252678,43.738960,2013-01-01T00:00:00+0000 - 2014-01-01T00:00:00+0000,1.0-2.0,1.0,2.0,9.42,0.110,85.680,0.2,0.940650,2.0,15.0,0.00392579,10.0,/home/kffeng/DATA_PNW/pnw_2013/STACK_acfs_BH_2013/
CC.NORM,-121.252678,43.738960,2013-01-01T00:00:00+0000 - 2014-01-01T00:00:00+0000,2.0-4.0,2.0,4.0,18.85,0.070,269.279,0.2,0.642068,1.0,16.0,0.00203617,10.0,/home/kffeng/DATA_PNW/pnw_2013/STACK_acfs_BH_2013/
CC.OBSR,-121.815331,46.899719,2013-01-01T00:00:00+0000 - 2014-01-01T00:00:00+0000,0.5-1.0,0.5,1.0,4.71,0.010,471.239,0.2,3.354725,4.0,16.0,0.05061172,10.0,/home/kffeng/DATA_PNW/pnw_2013/STACK_acfs_BH_2013/
