netst,stlo,stla,timerange,fband,fmin,fmax,fwcen,intb,intQ,mean_free,scaling_amp,tbeg,tend,noiselevel,madratio,data_path
CC.ASBU,-121.368401,43.820560,2021-01-01T00:00:00+0000 - 2022-01-01T00:00:00+0000,0.5-1.0,0.5,1.0,4.71,0.320,14.726,0.2,9.861530,4.0,9.0,0.01595302,10.0,/home/kffeng/DATA_PNW/pnw_2021/STACK_acfs_BH_2021/
CC.ASBU,-121.368401,43.820560,2021-01-01T00:00:00+0000 - 2022-01-01T00:00:00+0000,1.0-2.0,1.0,2.0,9.42,0.010,942.478,0.2,0.338480,2.0,18.0,0.00315775,10.0,/home/kffeng/DATA_PNW/pnw_2021/STACK_acfs_BH_2021/
CC.ASBU,-121.368401,43.820560,2021-01-01T00:00:00+0000 - 2022-01-01T00:00:00+0000,2.0-4.0,2.0,4.0,18.85,0.010,1884.956,0.2,0.806094,1.0,17.0,0.01125175,10.0,/home/kffeng/DATA_PNW/pnw_2021/STACK_acfs_BH_2021/
CC.BRSP,-121.708427,45.401550,2021-01-01T00:00:00+0000 - 2022-01-01T00:00:00+0000,0.5-1.0,0.5,1.0,4.71,0.180,26.180,0.2,14.772532,4.0,12.0,0.05448019,10.0,/home/kffeng/DATA_PNW/pnw_2021/STACK_acfs_BH_2021/
CC.BRSP,-121.708427,45.401550,2021-01-01T00:00:00+0000 - 2022-01-01T00:00:00+0000,1.0-2.0,1.0,2.0,9.42,0.010,942.478,0.2,3.841797,2.0,16.0,0.06726152,10.0,/home/kffeng/DATA_PNW/pnw_2021/STACK_acfs_BH_2021/
CC.BRSP,-121.708427,45.401550,2021-01-01T00:00:00+0000 - 2022-01-01T00:00:00+0000,2.0-4.0,2.0,4.0,18.85,0.040,471.239,0.2,0.585774,1.0,20.0,0.00275200,10.0,/home/kffeng/DATA_PNW/pnw_2021/STACK_acfs_BH_2021/
CC.CARB,-122.005409,46.988319,2021-01-01T00:00:00+0000 - 2022-01-01T00:00:00+0000,0.5-1.0,0.5,1.0,4.71,0.200,23.562,0.2,7.463860,4.0,13.0,0.01310462,10.0,/home/kffeng/DATA_PNW/pnw_2021/STACK_acfs_BH_2021/
CC.CARB,-122.005409,46.988319,2021-01-01T00:00:00+0000 - 2022-01-01T00:00:00+0000,1.0-2.0,1.0,2.0,9.42,0.250,37.699,0.2,2.502521,2.0,7.0,0.01964105,10.0,/home/kffeng/DATA_PNW/pnw_2021/STACK_acfs_BH_2021/
CC.CARB,-122.005409,46.988319,2021-01-01T00:00:00+0000 - 2022-01-01T00:00:00+0000,2.0-4.0,2.0,4.0,18.85,0.430,43.836,0.2,1.387123,1.0,7.0,0.00327120,10.0,/home/kffeng/DATA_PNW/pnw_2021/STACK_acfs_BH_2021/
CC.CIHL,-121.148621,43.750969,2021-01-01T00:00:00+0000 - 2022-01-01T00:00:00+0000,0.5-1.0,0.5,1.0,4.71,0.120,39.270,0.2,0.980356,4.0,14.0,0.00462500,10.0,/home/kffeng/DATA_PNW/pnw_2021/STACK_acfs_BH_2021/
