netst,stlo,stla,timerange,fband,fmin,fmax,fwcen,intb,intQ,mean_free,scaling_amp,tbeg,tend,noiselevel,madratio,data_path
CC.VALT,-122.189247,46.214218,2008-01-01T00:00:00+0000 - 2009-01-01T00:00:00+0000,0.5-1.0,0.5,1.0,4.71,0.010,471.239,0.2,6.825008,4.0,8.0,0.26714134,10.0,/home/kffeng/DATA_PNW/pnw_2008/STACK_acfs_BH_2008/
CC.VALT,-122.189247,46.214218,2008-01-01T00:00:00+0000 - 2009-01-01T00:00:00+0000,1.0-2.0,1.0,2.0,9.42,0.200,47.124,0.2,5.554613,2.0,8.0,0.03155928,10.0,/home/kffeng/DATA_PNW/pnw_2008/STACK_acfs_BH_2008/
CC.VALT,-122.189247,46.214218,2008-01-01T00:00:00+0000 - 2009-01-01T00:00:00+0000,2.0-4.0,2.0,4.0,18.85,0.170,110.880,0.2,2.268084,1.0,12.0,0.00698902,10.0,/home/kffeng/DATA_PNW/pnw_2008/STACK_acfs_BH_2008/
TA.A10A,-117.558601,48.981300,2008-01-01T00:00:00+0000 - 2009-01-01T00:00:00+0000,0.5-1.0,0.5,1.0,4.71,0.190,24.802,0.2,3.550809,4.0,11.0,0.00958981,10.0,/home/kffeng/DATA_PNW/pnw_2008/STACK_acfs_BH_2008/
TA.A10A,-117.558601,48.981300,2008-01-01T00:00:00+0000 - 2009-01-01T00:00:00+0000,1.0-2.0,1.0,2.0,9.42,0.010,942.478,0.2,1.795638,2.0,5.0,0.04500465,10.0,/home/kffeng/DATA_PNW/pnw_2008/STACK_acfs_BH_2008/
TA.A10A,-117.558601,48.981300,2008-01-01T00:00:00+0000 - 2009-01-01T00:00:00+0000,2.0-4.0,2.0,4.0,18.85,0.080,235.619,0.2,0.646679,1.0,5.0,0.01507915,10.0,/home/kffeng/DATA_PNW/pnw_2008/STACK_acfs_BH_2008/
TA.A12A,-115.652603,48.933899,2008-01-01T00:00:00+0000 - 2009-01-01T00:00:00+0000,0.5-1.0,0.5,1.0,4.71,0.240,19.635,0.2,10.852075,4.0,8.0,0.06318834,10.0,/home/kffeng/DATA_PNW/pnw_2008/STACK_acfs_BH_2008/
TA.A12A,-115.652603,48.933899,2008-01-01T00:00:00+0000 - 2009-01-01T00:00:00+0000,1.0-2.0,1.0,2.0,9.42,0.060,157.080,0.2,1.354656,2.0,16.0,0.00551236,10.0,/home/kffeng/DATA_PNW/pnw_2008/STACK_acfs_BH_2008/
TA.A12A,-115.652603,48.933899,2008-01-01T00:00:00+0000 - 2009-01-01T00:00:00+0000,2.0-4.0,2.0,4.0,18.85,0.240,78.540,0.2,2.423265,1.0,10.0,0.00550475,10.0,/home/kffeng/DATA_PNW/pnw_2008/STACK_acfs_BH_2008/
TA.B12A,-115.588898,48.469398,2008-01-01T00:00:00+0000 - 2009-01-01T00:00:00+0000,0.5-1.0,0.5,1.0,4.71,0.070,67.320,0.2,1.336545,4.0,10.0,0.01125919,10.0,/home/kffeng/DATA_PNW/pnw_2008/STACK_acfs_BH_2008/
TA.B12A,-115.588898,48.469398,2008-01-01T00:00:00+0000 - 2009-01-01T00:00:00+0000,1.0-2.0,1.0,2.0,9.42,0.100,94.248,0.2,1.890898,2.0,15.0,0.00661125,10.0,/home/kffeng/DATA_PNW/pnw_2008/STACK_acfs_BH_2008/
TA.B12A,-115.588898,48.469398,2008-01-01T00:00:00+0000 - 2009-01-01T00:00:00+0000,2.0-4.0,2.0,4.0,18.85,0.220,85.680,0.2,1.014135,1.0,8.0,0.00345658,10.0,/home/kffeng/DATA_PNW/pnw_2008/STACK_acfs_BH_2008/
TA.B14A,-113.272903,48.360901,2008-01-01T00:00:00+0000 - 2009-01-01T00:00:00+0000,0.5-1.0,0.5,1.0,4.71,0.070,67.320,0.2,0.977482,4.0,13.0,0.00756962,10.0,/home/kffeng/DATA_PNW/pnw_2008/STACK_acfs_BH_2008/
TA.B14A,-113.272903,48.360901,2008-01-01T00:00:00+0000 - 2009-01-01T00:00:00+0000,1.0-2.0,1.0,2.0,9.42,0.080,117.810,0.2,0.342350,2.0,5.0,0.01301923,10.0,/home/kffeng/DATA_PNW/pnw_2008/STACK_acfs_BH_2008/
TA.B14A,-113.272903,48.360901,2008-01-01T00:00:00+0000 - 2009-01-01T00:00:00+0000,2.0-4.0,2.0,4.0,18.85,1.820,10.357,0.2,5.329994,1.0,3.0,0.00137573,10.0,/home/kffeng/DATA_PNW/pnw_2008/STACK_acfs_BH_2008/
TA.B16A,-111.707298,48.412800,2008-01-01T00:00:00+0000 - 2009-01-01T00:00:00+0000,0.5-1.0,0.5,1.0,4.71,0.010,471.239,0.2,3.854669,4.0,11.0,0.05957997,10.0,/home/kffeng/DATA_PNW/pnw_2008/STACK_acfs_BH_2008/
TA.B16A,-111.707298,48.412800,2008-01-01T00:00:00+0000 - 2009-01-01T00:00:00+0000,1.0-2.0,1.0,2.0,9.42,0.090,104.720,0.2,1.244566,2.0,13.0,0.00326945,10.0,/home/kffeng/DATA_PNW/pnw_2008/STACK_acfs_BH_2008/
TA.B16A,-111.707298,48.412800,2008-01-01T00:00:00+0000 - 2009-01-01T00:00:00+0000,2.0-4.0,2.0,4.0,18.85,0.230,81.955,0.2,1.748842,1.0,17.0,0.00052336,10.0,/home/kffeng/DATA_PNW/pnw_2008/STACK_acfs_BH_2008/
TA.C05A,-121.689499,47.694698,2008-01-01T00:00:00+0000 - 2009-01-01T00:00:00+0000,0.5-1.0,0.5,1.0,4.71,0.180,26.180,0.2,7.596570,4.0,8.0,0.06459920,10.0,/home/kffeng/DATA_PNW/pnw_2008/STACK_acfs_BH_2008/
TA.C05A,-121.689499,47.694698,2008-01-01T00:00:00+0000 - 2009-01-01T00:00:00+0000,1.0-2.0,1.0,2.0,9.42,0.010,942.478,0.2,0.293064,2.0,7.0,0.01327097,10.0,/home/kffeng/DATA_PNW/pnw_2008/STACK_acfs_BH_2008/
