netst,stlo,stla,timerange,fband,fmin,fmax,fwcen,intb,intQ,mean_free,scaling_amp,tbeg,tend,noiselevel,madratio,data_path
CC.ASBU,-121.368401,43.820560,2015-01-01T00:00:00+0000 - 2016-01-01T00:00:00+0000,0.5-1.0,0.5,1.0,4.71,0.250,18.850,0.2,13.371571,4.0,13.0,0.01521405,10.0,/home/kffeng/DATA_PNW/pnw_2015/STACK_acfs_BH_2015/
CC.ASBU,-121.368401,43.820560,2015-01-01T00:00:00+0000 - 2016-01-01T00:00:00+0000,1.0-2.0,1.0,2.0,9.42,0.010,942.478,0.2,0.612662,2.0,17.0,0.00603697,10.0,/home/kffeng/DATA_PNW/pnw_2015/STACK_acfs_BH_2015/
CC.ASBU,-121.368401,43.820560,2015-01-01T00:00:00+0000 - 2016-01-01T00:00:00+0000,2.0-4.0,2.0,4.0,18.85,0.040,471.239,0.2,1.219572,1.0,14.0,0.00978686,10.0,/home/kffeng/DATA_PNW/pnw_2015/STACK_acfs_BH_2015/
CC.CIHL,-121.148621,43.750969,2015-01-01T00:00:00+0000 - 2016-01-01T00:00:00+0000,0.5-1.0,0.5,1.0,4.71,0.110,42.840,0.2,0.838731,4.0,8.0,0.00779929,10.0,/home/kffeng/DATA_PNW/pnw_2015/STACK_acfs_BH_2015/
CC.CIHL,-121.148621,43.750969,2015-01-01T00:00:00+0000 - 2016-01-01T00:00:00+0000,1.0-2.0,1.0,2.0,9.42,0.070,134.640,0.2,0.649411,2.0,11.0,0.00852282,10.0,/home/kffeng/DATA_PNW/pnw_2015/STACK_acfs_BH_2015/
CC.CIHL,-121.148621,43.750969,2015-01-01T00:00:00+0000 - 2016-01-01T00:00:00+0000,2.0-4.0,2.0,4.0,18.85,0.080,235.619,0.2,0.272219,1.0,12.0,0.00126082,10.0,/home/kffeng/DATA_PNW/pnw_2015/STACK_acfs_BH_2015/
CC.CLBH,-122.143494,42.907745,2015-01-01T00:00:00+0000 - 2016-01-01T00:00:00+0000,0.5-1.0,0.5,1.0,4.71,0.080,58.905,0.2,1.056152,4.0,15.0,0.00526183,10.0,/home/kffeng/DATA_PNW/pnw_2015/STACK_acfs_BH_2015/
CC.CLBH,-122.143494,42.907745,2015-01-01T00:00:00+0000 - 2016-01-01T00:00:00+0000,1.0-2.0,1.0,2.0,9.42,0.910,10.357,0.2,7.333595,2.0,5.0,0.00561600,10.0,/home/kffeng/DATA_PNW/pnw_2015/STACK_acfs_BH_2015/
CC.CLBH,-122.143494,42.907745,2015-01-01T00:00:00+0000 - 2016-01-01T00:00:00+0000,2.0-4.0,2.0,4.0,18.85,0.880,21.420,0.2,0.779508,1.0,2.0,0.01193248,10.0,/home/kffeng/DATA_PNW/pnw_2015/STACK_acfs_BH_2015/
CC.CPCO,-121.233192,43.722012,2015-01-01T00:00:00+0000 - 2016-01-01T00:00:00+0000,0.5-1.0,0.5,1.0,4.71,0.080,58.905,0.2,5.705466,4.0,12.0,0.05470458,10.0,/home/kffeng/DATA_PNW/pnw_2015/STACK_acfs_BH_2015/
CC.CPCO,-121.233192,43.722012,2015-01-01T00:00:00+0000 - 2016-01-01T00:00:00+0000,1.0-2.0,1.0,2.0,9.42,0.210,44.880,0.2,3.033136,2.0,16.0,0.00155583,10.0,/home/kffeng/DATA_PNW/pnw_2015/STACK_acfs_BH_2015/
CC.CPCO,-121.233192,43.722012,2015-01-01T00:00:00+0000 - 2016-01-01T00:00:00+0000,2.0-4.0,2.0,4.0,18.85,0.130,144.997,0.2,0.525361,1.0,16.0,0.00071569,10.0,/home/kffeng/DATA_PNW/pnw_2015/STACK_acfs_BH_2015/
CC.NORM,-121.252678,43.738960,2015-01-01T00:00:00+0000 - 2016-01-01T00:00:00+0000,0.5-1.0,0.5,1.0,4.71,0.130,36.249,0.2,4.084690,4.0,15.0,0.01370908,10.0,/home/kffeng/DATA_PNW/pnw_2015/STACK_acfs_BH_2015/
CC.NORM,-121.252678,43.738960,2015-01-01T00:00:00+0000 - 2016-01-01T00:00:00+0000,1.0-2.0,1.0,2.0,9.42,0.140,67.320,0.2,1.636343,2.0,15.0,0.00380843,10.0,/home/kffeng/DATA_PNW/pnw_2015/STACK_acfs_BH_2015/
CC.NORM,-121.252678,43.738960,2015-01-01T00:00:00+0000 - 2016-01-01T00:00:00+0000,2.0-4.0,2.0,4.0,18.85,0.090,209.440,0.2,0.790416,1.0,16.0,0.00188934,10.0,/home/kffeng/DATA_PNW/pnw_2015/STACK_acfs_BH_2015/
CC.OBSR,-121.815331,46.899719,2015-01-01T00:00:00+0000 - 2016-01-01T00:00:00+0000,0.5-1.0,0.5,1.0,4.71,0.010,471.239,0.2,3.455014,4.0,17.0,0.04685931,10.0,/home/kffeng/DATA_PNW/pnw_2015/STACK_acfs_BH_2015/
CC.OBSR,-121.815331,46.899719,2015-01-01T00:00:00+0000 - 2016-01-01T00:00:00+0000,1.0-2.0,1.0,2.0,9.42,0.170,55.440,0.2,2.593593,2.0,16.0,0.00290567,10.0,/home/kffeng/DATA_PNW/pnw_2015/STACK_acfs_BH_2015/
CC.OBSR,-121.815331,46.899719,2015-01-01T00:00:00+0000 - 2016-01-01T00:00:00+0000,2.0-4.0,2.0,4.0,18.85,0.420,44.880,0.2,1.311085,1.0,12.0,0.00013272,10.0,/home/kffeng/DATA_PNW/pnw_2015/STACK_acfs_BH_2015/
CC.SWF2,-122.216766,46.178349,2015-01-01T00:00:00+0000 - 2016-01-01T00:00:00+0000,0.5-1.0,0.5,1.0,4.71,0.010,471.239,0.2,5.698976,4.0,9.0,0.21909074,10.0,/home/kffeng/DATA_PNW/pnw_2015/STACK_acfs_BH_2015/
CC.SWF2,-122.216766,46.178349,2015-01-01T00:00:00+0000 - 2016-01-01T00:00:00+0000,1.0-2.0,1.0,2.0,9.42,0.010,942.478,0.2,1.326994,2.0,7.0,0.04572300,10.0,/home/kffeng/DATA_PNW/pnw_2015/STACK_acfs_BH_2015/
CC.SWF2,-122.216766,46.178349,2015-01-01T00:00:00+0000 - 2016-01-01T00:00:00+0000,2.0-4.0,2.0,4.0,18.85,0.090,209.440,0.2,0.517852,1.0,7.0,0.01173953,10.0,/home/kffeng/DATA_PNW/pnw_2015/STACK_acfs_BH_2015/
CC.SWNB,-121.355347,43.672741,2015-01-01T00:00:00+0000 - 2016-01-01T00:00:00+0000,0.5-1.0,0.5,1.0,4.71,0.150,31.416,0.2,2.540477,4.0,13.0,0.00923795,10.0,/home/kffeng/DATA_PNW/pnw_2015/STACK_acfs_BH_2015/
CC.SWNB,-121.355347,43.672741,2015-01-01T00:00:00+0000 - 2016-01-01T00:00:00+0000,1.0-2.0,1.0,2.0,9.42,0.350,26.928,0.2,1.276293,2.0,10.0,0.00121088,10.0,/home/kffeng/DATA_PNW/pnw_2015/STACK_acfs_BH_2015/
