netst,stlo,stla,timerange,fband,fmin,fmax,fwcen,intb,intQ,mean_free,scaling_amp,tbeg,tend,noiselevel,madratio,data_path
LI.LTH,-119.417679,46.461700,2005-01-01T00:00:00+0000 - 2006-01-01T00:00:00+0000,0.5-1.0,0.5,1.0,4.71,0.080,58.905,0.2,3.460395,4.0,13.0,0.03147505,10.0,/home/kffeng/DATA_PNW/pnw_2005/STACK_acfs_BH_2005/
LI.LTH,-119.417679,46.461700,2005-01-01T00:00:00+0000 - 2006-01-01T00:00:00+0000,1.0-2.0,1.0,2.0,9.42,0.010,942.478,0.2,5.038192,2.0,12.0,0.13288262,10.0,/home/kffeng/DATA_PNW/pnw_2005/STACK_acfs_BH_2005/
LI.LTH,-119.417679,46.461700,2005-01-01T00:00:00+0000 - 2006-01-01T00:00:00+0000,2.0-4.0,2.0,4.0,18.85,0.010,1884.956,0.2,1.218129,1.0,16.0,0.01624778,10.0,/home/kffeng/DATA_PNW/pnw_2005/STACK_acfs_BH_2005/
TA.ELFS,-120.727898,40.618301,2005-01-01T00:00:00+0000 - 2006-01-01T00:00:00+0000,0.5-1.0,0.5,1.0,4.71,0.230,20.489,0.2,7.296735,4.0,14.0,0.00725274,10.0,/home/kffeng/DATA_PNW/pnw_2005/STACK_acfs_BH_2005/
TA.ELFS,-120.727898,40.618301,2005-01-01T00:00:00+0000 - 2006-01-01T00:00:00+0000,1.0-2.0,1.0,2.0,9.42,0.180,52.360,0.2,0.781312,2.0,18.0,0.00043609,10.0,/home/kffeng/DATA_PNW/pnw_2005/STACK_acfs_BH_2005/
TA.ELFS,-120.727898,40.618301,2005-01-01T00:00:00+0000 - 2006-01-01T00:00:00+0000,2.0-4.0,2.0,4.0,18.85,0.640,29.452,0.2,0.651666,1.0,2.0,0.00871500,10.0,/home/kffeng/DATA_PNW/pnw_2005/STACK_acfs_BH_2005/
TA.F03A,-123.559097,45.930599,2005-01-01T00:00:00+0000 - 2006-01-01T00:00:00+0000,0.5-1.0,0.5,1.0,4.71,0.010,471.239,0.2,3.407926,4.0,9.0,0.09133720,10.0,/home/kffeng/DATA_PNW/pnw_2005/STACK_acfs_BH_2005/
TA.F03A,-123.559097,45.930599,2005-01-01T00:00:00+0000 - 2006-01-01T00:00:00+0000,1.0-2.0,1.0,2.0,9.42,0.050,188.496,0.2,1.651314,2.0,4.0,0.06304780,10.0,/home/kffeng/DATA_PNW/pnw_2005/STACK_acfs_BH_2005/
TA.F03A,-123.559097,45.930599,2005-01-01T00:00:00+0000 - 2006-01-01T00:00:00+0000,2.0-4.0,2.0,4.0,18.85,0.520,36.249,0.2,1.324762,1.0,3.0,0.01329292,10.0,/home/kffeng/DATA_PNW/pnw_2005/STACK_acfs_BH_2005/
TA.I05A,-121.267502,44.162601,2005-01-01T00:00:00+0000 - 2006-01-01T00:00:00+0000,0.5-1.0,0.5,1.0,4.71,0.310,15.201,0.2,1.430478,4.0,8.0,0.00365504,10.0,/home/kffeng/DATA_PNW/pnw_2005/STACK_acfs_BH_2005/
