netst,stlo,stla,timerange,fband,fmin,fmax,fwcen,intb,intQ,mean_free,scaling_amp,tbeg,tend,noiselevel,madratio,data_path
CC.ASBU,-121.368401,43.820560,2011-01-01T00:00:00+0000 - 2012-01-01T00:00:00+0000,0.5-1.0,0.5,1.0,4.71,0.380,12.401,0.2,37.552012,4.0,10.0,0.02735192,10.0,/home/kffeng/DATA_PNW/pnw_2011/STACK_acfs_BH_2011/
CC.ASBU,-121.368401,43.820560,2011-01-01T00:00:00+0000 - 2012-01-01T00:00:00+0000,1.0-2.0,1.0,2.0,9.42,0.010,942.478,0.2,1.018985,2.0,17.0,0.01874013,10.0,/home/kffeng/DATA_PNW/pnw_2011/STACK_acfs_BH_2011/
CC.ASBU,-121.368401,43.820560,2011-01-01T00:00:00+0000 - 2012-01-01T00:00:00+0000,2.0-4.0,2.0,4.0,18.85,0.010,1884.956,0.2,0.941511,1.0,11.0,0.02700864,10.0,/home/kffeng/DATA_PNW/pnw_2011/STACK_acfs_BH_2011/
CC.OBSR,-121.815331,46.899719,2011-01-01T00:00:00+0000 - 2012-01-01T00:00:00+0000,0.5-1.0,0.5,1.0,4.71,0.010,471.239,0.2,3.148812,4.0,12.0,0.05313887,10.0,/home/kffeng/DATA_PNW/pnw_2011/STACK_acfs_BH_2011/
CC.OBSR,-121.815331,46.899719,2011-01-01T00:00:00+0000 - 2012-01-01T00:00:00+0000,1.0-2.0,1.0,2.0,9.42,0.090,104.720,0.2,1.430541,2.0,11.0,0.01200026,10.0,/home/kffeng/DATA_PNW/pnw_2011/STACK_acfs_BH_2011/
CC.OBSR,-121.815331,46.899719,2011-01-01T00:00:00+0000 - 2012-01-01T00:00:00+0000,2.0-4.0,2.0,4.0,18.85,0.440,42.840,0.2,0.914439,1.0,7.0,0.00082050,10.0,/home/kffeng/DATA_PNW/pnw_2011/STACK_acfs_BH_2011/
CC.PANH,-121.642593,46.859032,2011-01-01T00:00:00+0000 - 2012-01-01T00:00:00+0000,0.5-1.0,0.5,1.0,4.71,0.100,47.124,0.2,1.361254,4.0,10.0,0.01566796,10.0,/home/kffeng/DATA_PNW/pnw_2011/STACK_acfs_BH_2011/
CC.PANH,-121.642593,46.859032,2011-01-01T00:00:00+0000 - 2012-01-01T00:00:00+0000,1.0-2.0,1.0,2.0,9.42,1.500,6.283,0.2,13.649839,2.0,4.0,0.00311208,10.0,/home/kffeng/DATA_PNW/pnw_2011/STACK_acfs_BH_2011/
CC.PANH,-121.642593,46.859032,2011-01-01T00:00:00+0000 - 2012-01-01T00:00:00+0000,2.0-4.0,2.0,4.0,18.85,0.930,20.268,0.2,2.217523,1.0,3.0,0.00837236,10.0,/home/kffeng/DATA_PNW/pnw_2011/STACK_acfs_BH_2011/
HW.CCRK,-119.854797,46.558498,2011-01-01T00:00:00+0000 - 2012-01-01T00:00:00+0000,0.5-1.0,0.5,1.0,4.71,0.170,27.720,0.2,6.803811,4.0,10.0,0.04068739,10.0,/home/kffeng/DATA_PNW/pnw_2011/STACK_acfs_BH_2011/
