netst,stlo,stla,timerange,fband,fmin,fmax,fwcen,intb,intQ,mean_free,scaling_amp,tbeg,tend,noiselevel,madratio,data_path
CC.VALT,-122.189247,46.214218,2007-01-01T00:00:00+0000 - 2008-01-01T00:00:00+0000,0.5-1.0,0.5,1.0,4.71,0.010,471.239,0.2,6.904610,4.0,11.0,0.21784935,10.0,/home/kffeng/DATA_PNW/pnw_2007/STACK_acfs_BH_2007/
CC.VALT,-122.189247,46.214218,2007-01-01T00:00:00+0000 - 2008-01-01T00:00:00+0000,1.0-2.0,1.0,2.0,9.42,0.150,62.832,0.2,5.968932,2.0,11.0,0.03310135,10.0,/home/kffeng/DATA_PNW/pnw_2007/STACK_acfs_BH_2007/
CC.VALT,-122.189247,46.214218,2007-01-01T00:00:00+0000 - 2008-01-01T00:00:00+0000,2.0-4.0,2.0,4.0,18.85,0.210,89.760,0.2,1.297062,1.0,12.0,0.00188298,10.0,/home/kffeng/DATA_PNW/pnw_2007/STACK_acfs_BH_2007/
TA.A05A,-122.085197,48.998299,2007-01-01T00:00:00+0000 - 2008-01-01T00:00:00+0000,0.5-1.0,0.5,1.0,4.71,0.240,19.635,0.2,7.273396,4.0,8.0,0.03749224,10.0,/home/kffeng/DATA_PNW/pnw_2007/STACK_acfs_BH_2007/
TA.A05A,-122.085197,48.998299,2007-01-01T00:00:00+0000 - 2008-01-01T00:00:00+0000,1.0-2.0,1.0,2.0,9.42,0.190,49.604,0.2,1.538767,2.0,6.0,0.00927615,10.0,/home/kffeng/DATA_PNW/pnw_2007/STACK_acfs_BH_2007/
TA.A05A,-122.085197,48.998299,2007-01-01T00:00:00+0000 - 2008-01-01T00:00:00+0000,2.0-4.0,2.0,4.0,18.85,0.570,33.069,0.2,1.138028,1.0,7.0,0.00110539,10.0,/home/kffeng/DATA_PNW/pnw_2007/STACK_acfs_BH_2007/
TA.A10A,-117.558601,48.981300,2007-01-01T00:00:00+0000 - 2008-01-01T00:00:00+0000,0.5-1.0,0.5,1.0,4.71,0.230,20.489,0.2,3.922144,4.0,12.0,0.00668749,10.0,/home/kffeng/DATA_PNW/pnw_2007/STACK_acfs_BH_2007/
TA.A10A,-117.558601,48.981300,2007-01-01T00:00:00+0000 - 2008-01-01T00:00:00+0000,1.0-2.0,1.0,2.0,9.42,0.020,471.239,0.2,0.430525,2.0,9.0,0.00856948,10.0,/home/kffeng/DATA_PNW/pnw_2007/STACK_acfs_BH_2007/
TA.A10A,-117.558601,48.981300,2007-01-01T00:00:00+0000 - 2008-01-01T00:00:00+0000,2.0-4.0,2.0,4.0,18.85,0.090,209.440,0.2,0.542122,1.0,9.0,0.00581885,10.0,/home/kffeng/DATA_PNW/pnw_2007/STACK_acfs_BH_2007/
TA.A12A,-115.652603,48.933899,2007-01-01T00:00:00+0000 - 2008-01-01T00:00:00+0000,0.5-1.0,0.5,1.0,4.71,0.200,23.562,0.2,10.460025,4.0,8.0,0.05917336,10.0,/home/kffeng/DATA_PNW/pnw_2007/STACK_acfs_BH_2007/
