,fband,netst,stlo,stla,meanb,meanQ,ncount,nearest_lon,nearest_lat,vs30
58,0.5-1.0,TA.E10A,-117.110199,46.485001,0.34,13.86,1,-117.1095,46.4853,465.9891
59,0.5-1.0,TA.F06A,-120.7817,45.766399,0.39,12.083,1,-120.7814,45.7673,470.0532
60,0.5-1.0,TA.F07A,-119.927803,45.8951,0.08,58.905,1,-119.9274,45.8953,469.4406
61,0.5-1.0,TA.F09A,-117.909401,45.708698,0.16,29.452,1,-117.9095,45.7093,424.4429
62,0.5-1.0,TA.H09A,-117.664299,44.665298,0.21,22.44,1,-117.6635,44.6653,477.9313
63,0.5-1.0,TA.I02A,-123.829903,44.003502,0.43,10.959,1,-123.8293,44.0033,537.0812
64,0.5-1.0,TA.J10A,-116.766998,43.427502,0.27,21.7495,2,-116.7675,43.4273,433.0541
65,0.5-1.0,TA.L04A,-121.890999,42.174999,0.26,18.125,1,-121.8914,42.1754,528.8923
66,0.5-1.0,XC.OR007,-121.312798,44.371201,0.115,53.13,2,-121.3134,44.3713,346.4514
67,0.5-1.0,XC.OR008,-120.974701,44.409,0.345,13.662,2,-120.9754,44.4093,442.5144
68,0.5-1.0,XC.OR033,-119.028,43.774101,0.01,471.239,2,-119.0274,43.7733,549.3862
69,0.5-1.0,XC.OR034,-120.558998,43.835899,0.1433333333333333,34.906666666666666,3,-120.5594,43.8353,344.3809
70,0.5-1.0,XC.OR041,-121.512604,43.733398,0.01,471.239,3,-121.5134,43.7333,248.5839
71,0.5-1.0,XC.OR059,-119.556503,43.452999,0.2,23.8,2,-119.5574,43.4533,251.604
72,0.5-1.0,XC.OR066,-119.189102,43.346001,0.405,81.561,2,-119.1894,43.3453,402.9299
73,0.5-1.0,XC.OR081,-118.420601,43.109501,0.0933333333333333,51.36833333333334,3,-118.4215,43.1093,452.0129
74,0.5-1.0,XC.OR094,-118.334801,43.939899,0.37,13.537,2,-118.3355,43.9393,508.5483
75,0.5-1.0,XU.E030,-121.7798,47.4473,0.02,235.619,1,-121.7794,47.4472,900.0
76,0.5-1.0,XU.N120,-121.481903,47.216499,0.08,58.905,1,-121.4814,47.2172,900.0
77,0.5-1.0,XU.W040,-123.1213,47.601002,0.01,471.239,1,-123.1213,47.6012,854.0
78,0.5-1.0,XU.W080,-123.284897,46.716099,0.08,58.905,1,-123.2853,46.7153,555.7207
79,0.5-1.0,YW.FACL,-123.019798,44.1399,0.125,37.7595,2,-123.0193,44.1393,495.4426
80,0.5-1.0,ZG.W03,-116.399002,44.991001,0.07,67.32,1,-116.3995,44.9913,487.2229
81,0.5-1.0,TA.C08A,-119.045403,47.784901,0.01,471.239,1,-119.0454,47.7852,424.5576
82,0.5-1.0,TA.G06A,-120.635101,45.235699,0.01,471.239,1,-120.6354,45.2353,529.7396
83,0.5-1.0,TA.G08A,-118.959503,45.290401,0.07,67.32,1,-118.9594,45.2913,545.1071
84,0.5-1.0,TA.G11A,-116.267998,45.3997,0.01,471.239,1,-116.2675,45.3993,900.0
85,0.5-1.0,TA.I09A,-117.7407,43.973301,0.2,23.562,1,-117.7415,43.9733,417.2469
86,0.5-1.0,XC.OR025,-119.861603,44.0303,0.015,353.429,2,-119.8614,44.0293,464.2011
87,0.5-1.0,XC.OR064,-119.347198,43.388699,0.01,471.239,2,-119.3474,43.3893,306.643
88,0.5-1.0,XC.OR079,-118.570999,43.1287,0.42,11.2455,2,-118.5715,43.1293,284.8481
89,0.5-1.0,HW.CCRK,-119.854797,46.558498,0.18,26.261,2,-119.8554,46.5593,401.2963
90,0.5-1.0,HW.DDRF,-119.059502,46.4911,0.095,49.742,2,-119.0594,46.4913,383.1599
91,0.5-1.0,HW.PHIN,-119.927803,45.8951,0.12,39.5445,2,-119.9274,45.8953,469.4406
92,0.5-1.0,TA.J04D,-122.109299,43.240501,0.01,471.239,8,-122.1094,43.2413,477.0
93,0.5-1.0,TA.K04D,-121.753502,42.624599,0.01,471.239,8,-121.7534,42.6254,332.6396
94,0.5-1.0,XC.ID001,-116.9814,43.289902,0.19,24.802,1,-116.9815,43.2893,534.4892
95,0.5-1.0,XC.OR015,-121.030197,44.2155,0.24,19.635,1,-121.0294,44.2153,456.0841
96,0.5-1.0,XC.OR018,-121.409401,44.148701,0.15,31.416,1,-121.4094,44.1493,415.8071
97,0.5-1.0,XC.OR027,-118.969299,44.0075,0.73,6.455,1,-118.9694,44.0073,391.6765
98,0.5-1.0,XC.OR055,-119.763199,43.549099,0.13,36.249,1,-119.7634,43.5493,234.7207
99,0.5-1.0,XC.OR089,-118.028,43.000702,0.27,17.453,1,-118.0275,43.0014,416.3611
100,0.5-1.0,UW.ELW,-121.872673,47.494099,0.12,39.27,1,-121.8734,47.4932,444.5807
101,0.5-1.0,CC.OBSR,-121.815331,46.899719,0.0107692307692307,453.1143846153845,13,-121.8154,46.8993,900.0
102,0.5-1.0,TA.A04D,-122.706299,48.7201,0.0757142857142857,72.44914285714286,7,-122.7053,48.7192,585.3542
103,0.5-1.0,TA.F05D,-121.459702,45.885201,0.2239999999999999,21.753,5,-121.4594,45.8853,524.5464
104,0.5-1.0,TA.H04D,-122.737701,44.523399,0.07,69.78216666666667,6,-122.7373,44.5233,668.8057
