netst,stlo,stla
TA.H03A,-123.292297,44.676498
TA.H04A,-122.186203,44.683701
TA.H04D,-122.737701,44.523399
TA.H05A,-121.227097,44.647301
TA.H06A,-120.334602,44.734402
TA.H07A,-119.564598,44.591301
TA.H08A,-118.670403,44.519100
TA.H09A,-117.664299,44.665298
TA.H10A,-116.747398,44.589001
TA.H11A,-116.012703,44.703499
TA.H12A,-114.855400,44.549400
TA.H13A,-114.254501,44.564201
TA.H14A,-113.367401,44.616501
TA.H15A,-112.643898,44.617298
TA.H16A,-111.247803,44.703800
TA.H17A,-110.576202,44.395100
TA.HATC,-121.461197,40.816101
TA.I02A,-123.829903,44.003502
TA.I02D,-123.846901,44.105900
TA.I02E,-123.847298,44.107700
TA.I03A,-123.277702,43.972599
TA.I03D,-123.348701,43.697201
TA.I04A,-122.411301,43.794102
TA.I05A,-121.267502,44.162601
TA.I05D,-121.339500,44.338600
TA.I06A,-120.210701,43.943699
TA.I07A,-119.504204,44.082001
TA.I08A,-118.569199,43.910400
TA.I09A,-117.740700,43.973301
TA.I10A,-116.802902,44.085999
TA.I11A,-115.957802,43.912102
TA.I12A,-115.132797,43.794498
TA.I13A,-114.116898,43.914600
TA.I14A,-113.451797,43.928600
TA.I15A,-112.485001,43.999699
TA.I16A,-111.486801,43.875599
TA.I17A,-110.575897,43.919998
TA.J01D,-123.931396,43.161400
TA.J01E,-123.931396,43.161499
TA.J02A,-123.574699,43.365398
TA.J03A,-122.964600,43.371700
TA.J04A,-122.109299,43.240601
TA.J04D,-122.109299,43.240501
TA.J05A,-121.235703,43.284302
TA.J05D,-121.234703,43.284801
TA.J06A,-120.152802,43.251499
TA.J07A,-119.310501,43.373600
TA.J08A,-118.474297,43.358002
TA.J09A,-117.754204,43.347099
TA.J10A,-116.766998,43.427502
TA.J11A,-115.827797,43.415100
TA.J12A,-115.098000,43.250000
TA.J13A,-114.174202,43.397900
TA.J14A,-113.517799,43.323399
TA.J15A,-112.433403,43.399799
