netst,stlo,stla
UW.OT3,-119.234131,46.668861
UW.OTR,-124.345177,48.086319
UW.PAN4H,-123.269577,47.175869
UW.PASS,-122.085197,48.998299
UW.PHIN,-119.927803,45.895100
UW.PRIN,-122.630852,48.211720
UW.PRO,-119.686813,46.212521
UW.RAD1,-122.363335,47.636131
UW.RAD2,-122.358353,47.631645
UW.RAD3,-122.362602,47.633865
UW.RAD4,-122.354973,47.638039
UW.RAD5,-122.356667,47.635693
UW.RAD6,-122.351166,47.633671
UW.RADR,-123.798973,46.421810
UW.RATT,-121.802544,47.425461
UW.RCM,-121.732979,46.835640
UW.RER,-121.842499,46.818581
UW.RNWY,-123.126297,48.612061
UW.RPW2,-121.526497,48.444931
UW.RVSD,-117.356796,47.964771
UW.SALO,-122.373100,47.951450
UW.SAW,-119.401657,47.701870
UW.SEAS2,-123.895699,46.035648
UW.SHUK,-121.676949,48.852840
UW.SHW,-122.234917,46.193642
UW.SKOKO,-123.366501,47.409081
UW.SLDQ,-124.140923,48.062241
UW.SLF,-120.529457,47.760578
UW.SNAG,-124.519814,48.206478
UW.SNI2,-119.655151,46.464802
UW.SP2,-122.249229,47.556290
UW.SSO2,-122.483437,44.841179
UW.STOR,-121.988800,47.188099
UW.TBLMT,-120.598267,47.173100
UW.TDH,-121.791443,45.289997
UW.TNSKT,-119.442207,48.722301
UW.TOLE,-122.845398,46.452694
UW.TOLT,-121.689499,47.694698
UW.TOUCH,-118.631187,46.022839
UW.TREE,-120.893402,42.725800
UW.TUCA,-118.145500,46.513901
UW.TWISP,-120.119759,48.461071
UW.UGAP1,-120.469429,46.531261
UW.UGP4,-120.446373,46.530231
UW.UMAT,-118.959503,45.290401
UW.WA2,-119.566811,46.755192
UW.WAT2,-120.114433,47.620239
UW.WATCH,-121.987122,46.570702
UW.WHGC,-123.729866,46.655991
UW.WISH,-123.771179,47.116982
UW.WOLL,-118.920998,47.057301
UW.WPEQ,-121.404488,46.613277
UW.WRW,-120.883003,47.856651
UW.WYNO,-123.612961,47.433922
UW.YACT,-122.419296,45.932499
UW.YPT,-118.963173,46.048351
