,fband,netst,stlo,stla,meanb,meanQ,ncount,nearest_lon,nearest_lat,vs30
58,0.5-1.0,CI.HAR,-117.299088,35.011398,0.17,27.72,1,-117.2995,35.0116,318.7851
59,0.5-1.0,CI.HDH,-118.639992,34.775291,0.09,52.36,1,-118.6395,34.7756,417.9498
60,0.5-1.0,CI.HEC,-116.334999,34.829399,0.07,67.32,1,-116.3355,34.8296,682.2791
61,0.5-1.0,CI.HHL,-119.748581,34.600796,0.08,58.905,1,-119.7494,34.6016,900.0
62,0.5-1.0,CI.HIW,-115.384232,35.039982,0.13,36.249,1,-115.3835,35.0396,701.6073
63,0.5-1.0,CI.HLL,-118.359673,34.17643,0.19,24.802,1,-118.3595,34.1756,321.7057
64,0.5-1.0,CI.HMT2,-117.001526,33.708115,0.28,16.83,1,-117.0015,33.7076,606.0889
65,0.5-1.0,CI.HOL,-117.84539,34.458309,0.02,235.619,1,-117.8455,34.4576,531.4061
66,0.5-1.0,CI.HRV,-118.804398,34.727112,0.19,24.802,1,-118.8035,34.7276,429.4182
67,0.5-1.0,CI.HYS,-117.569748,34.865318,0.02,235.619,1,-117.5695,34.8656,423.8865
68,0.5-1.0,CI.IDO,-116.221519,33.79678,0.05,94.248,1,-116.2215,33.7976,506.0
69,0.5-1.0,CI.IPT,-117.284981,34.19701,0.42,11.22,1,-117.2855,34.1976,706.0
70,0.5-1.0,CI.JEM,-116.597549,33.080978,0.26,18.125,1,-116.5975,33.0816,500.7423
71,0.5-1.0,CI.JNH2,-117.955406,34.44894,0.12,39.27,1,-117.9555,34.4496,606.5369
72,0.5-1.0,CI.JPLS,-118.173683,34.205299,0.13,36.249,1,-118.1735,34.2056,865.5921
73,0.5-1.0,CI.JTH,-116.037849,34.126438,0.07,67.32,1,-116.0375,34.1256,635.743
74,0.5-1.0,CI.JVA,-116.612663,34.366219,0.2,23.562,1,-116.6135,34.3656,386.8584
75,0.5-1.0,CI.KML,-117.879089,33.597382,0.06,78.54,1,-117.8795,33.5976,897.9181
76,0.5-1.0,CI.KYV,-116.173401,33.925449,0.01,471.239,1,-116.1735,33.9256,528.5754
77,0.5-1.0,CI.LAF,-118.331429,33.868889,0.14,33.66,1,-118.3315,33.8696,290.8454
78,0.5-1.0,CI.LAT,-118.776428,34.044491,0.1,47.124,1,-118.7755,34.0436,668.0
79,0.5-1.0,CI.LCG,-118.377937,34.000332,0.23,20.489,1,-118.3775,33.9996,333.5768
80,0.5-1.0,CI.LCP,-120.279961,34.735512,0.01,471.239,1,-120.2794,34.7356,362.6299
81,0.5-1.0,CI.LDF,-115.184158,35.130661,0.09,52.36,1,-115.1835,35.1316,451.6077
82,0.5-1.0,CI.LDR,-118.34156,34.990601,0.15,31.416,1,-118.3415,34.9916,412.937
83,0.5-1.0,CI.LFP,-118.488052,34.30529,0.01,471.239,1,-118.4875,34.3056,547.4803
84,0.5-1.0,CI.LGB,-118.149178,33.9753,0.01,471.239,1,-118.1495,33.9756,351.9163
85,0.5-1.0,CI.LJR,-118.867752,34.807621,0.26,18.125,1,-118.8674,34.8076,478.1982
86,0.5-1.0,CI.LKH,-116.758759,33.235981,0.06,78.54,1,-116.7595,33.2356,705.337
87,0.5-1.0,CI.LLS,-117.943039,33.684471,0.27,17.453,1,-117.9435,33.6836,240.4595
88,0.5-1.0,CI.LMH,-117.39135,33.744179,0.21,22.44,1,-117.3915,33.7436,598.1035
89,0.5-1.0,CI.LMY,-119.103912,34.733166,0.07,67.32,1,-119.1034,34.7336,279.8155
90,0.5-1.0,CI.LOC,-120.446899,34.690735,0.01,471.239,1,-120.4474,34.6916,298.2437
91,0.5-1.0,CI.LPC,-117.546417,34.314781,0.11,42.84,1,-117.5455,34.3156,505.3947
92,0.5-1.0,CI.LRR2,-118.029984,34.527061,0.07,67.32,1,-118.0295,34.5276,513.2831
93,0.5-1.0,CI.LTP,-118.175682,33.8811,0.01,471.239,1,-118.1755,33.8816,244.3836
94,0.5-1.0,CI.LUC2,-116.964233,34.456379,0.07,67.32,1,-116.9635,34.4556,329.195
95,0.5-1.0,CI.LUG,-117.366829,34.365601,0.1,47.124,1,-117.3675,34.3656,365.5526
96,0.5-1.0,CI.LUS,-117.163048,33.013748,0.24,19.635,1,-117.1635,33.0136,533.324
97,0.5-1.0,CI.LVO,-119.883873,34.555798,0.08,58.905,1,-119.8834,34.5556,540.1453
98,0.5-1.0,CI.LVY,-119.156357,34.17408,0.15,31.416,1,-119.1554,34.1736,239.4485
99,0.5-1.0,CI.MCT,-116.040733,34.226452,0.21,22.44,1,-116.0415,34.2256,1232.5798
100,0.5-1.0,CI.MGE,-116.368736,33.818409,0.01,471.239,1,-116.3695,33.8176,226.061
101,0.5-1.0,CI.MLAC,-118.836052,37.630192,0.13,36.249,1,-118.8354,35.9995,614.3361
102,0.5-1.0,CI.MLS,-117.561623,34.004601,0.53,8.891,1,-117.5615,34.0056,356.3241
103,0.5-1.0,CI.MOP,-118.904694,34.28096,0.26,18.125,1,-118.9054,34.2816,267.7883
104,0.5-1.0,CI.MOR,-117.139931,33.50388,0.01,471.239,1,-117.1395,33.5036,579.7398
105,0.5-1.0,CI.MPI,-119.145302,34.81258,0.13,36.249,1,-119.1454,34.8116,785.0
106,0.5-1.0,CI.MPP,-119.813622,34.888481,0.16,29.452,1,-119.8134,34.8876,528.0
107,0.5-1.0,CI.MSC,-116.647949,34.038521,0.1,47.124,1,-116.6475,34.0376,651.0
108,0.5-1.0,CI.MSJ,-116.967888,33.80801,0.01,471.239,1,-116.9675,33.8076,224.7632
109,0.5-1.0,CI.NBS,-116.557983,34.78035,0.14,33.66,1,-116.5575,34.7796,553.2501
110,0.5-1.0,CI.NCH,-119.67395,34.942699,0.11,42.84,1,-119.6734,34.9436,392.9313
111,0.5-1.0,CI.NEE2,-114.618813,34.76759,0.27,17.453,1,-114.6196,34.7676,413.5103
112,0.5-1.0,CI.NJQ,-120.177368,34.534119,0.15,31.416,1,-120.1774,34.5336,472.0453
113,0.5-1.0,CI.NSS2,-115.945862,33.555531,0.58,8.125,1,-115.9455,33.5556,351.7116
114,0.5-1.0,CI.OAT,-118.614418,34.343609,0.33,14.28,1,-118.6135,34.3436,522.0
115,0.5-1.0,CI.OCP,-116.01931,32.747551,0.01,471.239,1,-116.0195,32.7476,474.0424
116,0.5-1.0,CI.OLI,-117.923721,33.945389,0.05,94.248,1,-117.9235,33.9456,310.3732
117,0.5-1.0,CI.OLP,-116.930191,32.607712,0.37,12.736,1,-116.9295,32.6076,482.9911
118,0.5-1.0,CI.OSI,-118.723503,34.614498,0.05,94.248,1,-118.7235,34.6136,437.0795
119,0.5-1.0,CI.PALA,-117.031822,33.38905,0.09,52.36,1,-117.0315,33.3896,602.2556
120,0.5-1.0,CI.PDE,-118.582153,34.44199,0.01,471.239,1,-118.5815,34.4416,287.9312
121,0.5-1.0,CI.PDM,-114.141518,34.30336,0.59,7.987,1,-114.1416,34.3036,748.0482
122,0.5-1.0,CI.PDU,-117.638077,34.120701,0.07,67.32,1,-117.6375,34.1216,505.5915
123,0.5-1.0,CI.PEM,-117.870087,34.166889,0.22,21.42,1,-117.8695,34.1676,398.0
124,0.5-1.0,CI.PER,-117.205292,33.861641,0.14,33.66,1,-117.2055,33.8616,563.058
125,0.5-1.0,CI.PGA,-117.063499,33.491402,0.01,471.239,1,-117.0635,33.4916,445.2465
126,0.5-1.0,CI.PLM,-116.862648,33.353611,0.1,47.124,1,-116.8635,33.3536,464.3074
127,0.5-1.0,CI.PLR,-115.977745,33.173489,0.07,67.32,1,-115.9775,33.1736,754.7418
128,0.5-1.0,CI.PLS,-117.609062,33.7953,0.02,235.619,1,-117.6095,33.7956,560.0
129,0.5-1.0,CI.POB2,-116.92382,33.68708,0.12,39.27,1,-116.9235,33.6876,564.0
130,0.5-1.0,CI.POP,-118.394028,34.728497,0.1,47.124,1,-118.3935,34.7276,465.7107
